id_dest,demographic,weighted_dist,demo_pop,avg_dist
131350505543,asian,38538475.51121315,12932,2980.086259759755
131350505543,black,68309376.65557,22022,3101.869796365907
131350505543,hispanic,84915669.79452889,28715,2957.18857024304
131350505543,native,2845308.1765425503,931,3056.1849372100432
131350505543,population,254342429.37666428,81996,3101.8882552400637
131350505543,white,65155935.90678663,19392,3359.9389390875945
131350505722,asian,20875147.348185226,6848,3048.3567973401323
131350505722,black,27769390.109159652,8822,3147.7431545182103
131350505722,hispanic,25314519.20218768,7956,3181.8148821251484
131350505722,native,848986.7272084283,266,3191.679425595595
131350505722,population,144268620.3445419,46736,3086.884207988315
131350505722,white,69504645.72337835,22753,3054.746438859858
131350506173,asian,10560915.458550742,3062,3449.0252967180736
131350506173,black,21207357.82560455,5915,3585.3521260531784
131350506173,hispanic,12992924.330634255,3488,3725.0356452506467
131350506173,native,344629.63095217146,100,3446.2963095217146
131350506173,population,119086361.8115958,33385,3567.0619083898696
131350506173,white,72506687.75010109,20386,3556.6902653831594
131350507193,asian,20167563.91528277,5636,3578.347039617241
131350507193,black,75963344.76059845,21603,3516.3331370919987
131350507193,hispanic,20412955.666359622,6022,3389.7302667485255
131350507193,native,1108441.8611079347,316,3507.727408569414
131350507193,population,191030521.29079455,54656,3495.1427343895375
131350507193,white,70388498.409522,20208,3483.1996441766623
131350507444,asian,6243732.876697191,1545,4041.251052878441
131350507444,black,69244932.57928918,16220,4269.108050511047
131350507444,hispanic,19394596.59999153,4382,4425.969100865251
131350507444,native,604013.4997496033,137,4408.857662405864
131350507444,population,155883687.59065017,37330,4175.828759460224
131350507444,white,57869358.08195028,14428,4010.9064376178458
Bogan Park Community Recreation Center,asian,14365779.254158031,4198,3422.053181076234
Bogan Park Community Recreation Center,black,21912836.653217606,5740,3817.5673611877364
Bogan Park Community Recreation Center,hispanic,25405727.915686317,6381,3981.4649609287444
Bogan Park Community Recreation Center,native,958663.6473873543,236,4062.134099098959
Bogan Park Community Recreation Center,population,132759405.12345706,35132,3778.8741068956238
Bogan Park Community Recreation Center,white,70537470.92407212,18671,3777.9160689878486
Dacula Park Activity Building,asian,6592868.142359765,1708,3859.9930575876847
Dacula Park Activity Building,black,35533473.3747775,9106,3902.2044119017683
Dacula Park Activity Building,hispanic,18069379.086753447,4793,3769.95182281524
Dacula Park Activity Building,native,617113.381642629,165,3740.0811008644187
Dacula Park Activity Building,population,122466237.62267992,30866,3967.6743867906407
Dacula Park Activity Building,white,60613616.615004234,14862,4078.429324115478
Gas South-Hudgens Center for Arts,asian,49088418.93822101,16041,3060.184460957609
Gas South-Hudgens Center for Arts,black,31084580.69227207,9607,3235.61785076216
Gas South-Hudgens Center for Arts,hispanic,26585446.423210826,7390,3597.489367146255
Gas South-Hudgens Center for Arts,native,801423.0544604633,222,3610.013758830916
Gas South-Hudgens Center for Arts,population,174060472.27041492,52050,3344.1012924191145
Gas South-Hudgens Center for Arts,white,65689815.397335105,18468,3556.953400332202
