id_dest,demographic,weighted_dist,demo_pop,avg_dist
Bogan Park Community Recreation Center,asian,30045214.141451422,6476,4639.47099157681
Bogan Park Community Recreation Center,black,50929740.84156375,9742,5227.8526833877795
Bogan Park Community Recreation Center,hispanic,45361819.45011665,9133,4966.803837744076
Bogan Park Community Recreation Center,native,1481056.186307172,314,4716.739446838127
Bogan Park Community Recreation Center,population,300085874.026517,57314,5235.821510041473
Bogan Park Community Recreation Center,white,171298049.7853948,31582,5423.913931524121
Dacula Park Activity Building,asian,21376263.376309566,3879,5510.76653166011
Dacula Park Activity Building,black,83066109.295662,15537,5346.341590761537
Dacula Park Activity Building,hispanic,40041781.43967856,7827,5115.853001108798
Dacula Park Activity Building,native,1236061.7547058612,254,4866.384861046698
Dacula Park Activity Building,population,320434744.3583253,58355,5491.127484505618
Dacula Park Activity Building,white,171029616.87922055,30283,5647.710493650581
Gas South-Hudgens Center for Arts,asian,67541811.12737474,18559,3639.3022860808633
Gas South-Hudgens Center for Arts,black,62271430.937118456,15273,4077.2232657053924
Gas South-Hudgens Center for Arts,hispanic,76189916.74556984,15727,4844.529582601249
Gas South-Hudgens Center for Arts,native,2477535.5482683037,498,4974.970980458441
Gas South-Hudgens Center for Arts,population,291327267.82881695,70638,4124.228712998909
Gas South-Hudgens Center for Arts,white,86710319.93402101,21042,4120.821211577845
George Pierce Park Community Recreation Center,asian,54939146.70387659,14189,3871.9533937470287
George Pierce Park Community Recreation Center,black,45530592.25301923,10078,4517.820227527211
George Pierce Park Community Recreation Center,hispanic,39446248.4261129,8138,4847.167415349336
George Pierce Park Community Recreation Center,native,1122197.0130876736,254,4418.098476723124
George Pierce Park Community Recreation Center,population,304564127.5664384,68226,4464.047834644247
George Pierce Park Community Recreation Center,white,159933491.09373322,34684,4611.16050898781
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,asian,59439953.22648871,10950,5428.306230729562
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,black,197538728.22628725,32768,6028.403571358864
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,hispanic,84736059.49515848,16324,5190.8882317543785
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,native,3421675.821382147,649,5272.227767923185
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,population,578287706.1393046,99649,5803.246456455204
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,white,228521918.06752235,38468,5940.571853684162
Lenora Park Gym,asian,14583524.123329412,2479,5882.825382545144
Lenora Park Gym,black,175236170.09834465,34101,5138.739922534373
Lenora Park Gym,hispanic,42190186.96693114,7146,5904.028402873096
Lenora Park Gym,native,1707598.6420866,299,5711.032247781271
Lenora Park Gym,population,342780588.97769856,62371,5495.832822589001
Lenora Park Gym,white,103182085.48529164,17243,5983.99846229146
Lucky Shoals Park Community Recreation Center,asian,32003331.923513703,9855,3247.420793862375
Lucky Shoals Park Community Recreation Center,black,43383106.13777063,13450,3225.5097500201214
Lucky Shoals Park Community Recreation Center,hispanic,107281132.1298734,30770,3486.549630480123
Lucky Shoals Park Community Recreation Center,native,4366790.865213739,1252,3487.852128764967
Lucky Shoals Park Community Recreation Center,population,214477554.44705808,63667,3368.7397623110573
Lucky Shoals Park Community Recreation Center,white,37909154.23332725,11253,3368.804250717786
Mountain Park Activity Building,asian,48112174.46911297,9769,4924.984590962532
Mountain Park Activity Building,black,77791304.64769149,14544,5348.687063235114
Mountain Park Activity Building,hispanic,47160696.20177163,8524,5532.695471817414
Mountain Park Activity Building,native,2336445.9959145747,433,5395.94918225075
Mountain Park Activity Building,population,303469573.0303774,61043,4971.406599124836
Mountain Park Activity Building,white,126567857.97364973,27264,4642.306997272951
Pinckneyville Park Community Recreation Center,asian,25898712.826056954,7423,3488.981924566476
Pinckneyville Park Community Recreation Center,black,57913205.4749413,11931,4854.011019607853
Pinckneyville Park Community Recreation Center,hispanic,59565244.81237271,13639,4367.273613342086
Pinckneyville Park Community Recreation Center,native,2007717.9416036576,457,4393.255889723539
Pinckneyville Park Community Recreation Center,population,249788321.07265282,57933,4311.675919987793
Pinckneyville Park Community Recreation Center,white,104942046.79091527,24557,4273.406637248657
Rhodes Jordan Park Community Recreation Center,asian,22506514.327009004,4559,4936.721721212767
Rhodes Jordan Park Community Recreation Center,black,57571102.76808778,15509,3712.1092764258033
Rhodes Jordan Park Community Recreation Center,hispanic,42163351.09940261,10801,3903.65254137604
Rhodes Jordan Park Community Recreation Center,native,1888674.6014204216,497,3800.150103461613
Rhodes Jordan Park Community Recreation Center,population,202539438.30443794,48832,4147.678536706216
Rhodes Jordan Park Community Recreation Center,white,79269864.29624909,17831,4445.620789425669
Shorty Howell Park Activity Building,asian,39333716.962131485,11513,3416.4611276063133
Shorty Howell Park Activity Building,black,59758403.91646094,15892,3760.2821492864923
Shorty Howell Park Activity Building,hispanic,75530389.89062424,18630,4054.2345620302867
Shorty Howell Park Activity Building,native,2175410.5669703595,557,3905.5845008444517
Shorty Howell Park Activity Building,population,228552852.79970896,61456,3718.9672741426216
Shorty Howell Park Activity Building,white,55388239.31904232,15580,3555.085963995014
