id_dest,demographic,weighted_dist,demo_pop,avg_dist
131350501212,asian,9074616.886094283,3351,2708.0324936121406
131350501212,black,8270071.535873366,3288,2515.2285693045515
131350501212,hispanic,10939473.119066304,4349,2515.399659477191
131350501212,native,418245.3627235664,166,2519.5503778528096
131350501212,population,73729394.77166761,27818,2650.420403036437
131350501212,white,44606533.56916043,16540,2696.8883657291676
131350503181,asian,7036340.573764565,2660,2645.240817204724
131350503181,black,11357153.501972955,7367,1541.6252887162964
131350503181,hispanic,19022730.692835912,8041,2365.7170367909353
131350503181,native,804141.6400028578,311,2585.6644373082245
131350503181,population,72240084.20900011,31888,2265.431642279231
131350503181,white,34568233.379300095,13634,2535.443257980057
131350504471,asian,11127405.050896073,5156,2158.1468291109527
131350504471,black,17979182.788707644,8178,2198.4816322704382
131350504471,hispanic,39188351.75478827,18779,2086.817815367606
131350504471,native,1518093.1991154836,716,2120.2418982059826
131350504471,population,83456358.69836138,38456,2170.17783176517
131350504471,white,17264048.211974844,7451,2317.010899473204
131350505281,asian,14357681.768872445,5528,2597.2651535586915
131350505281,black,19261356.962802485,7062,2727.4648772022774
131350505281,hispanic,17527773.704099122,6307,2779.098415110056
131350505281,native,586252.0837979787,201,2916.6770338207893
131350505281,population,98602279.05405186,36936,2669.5440506295176
131350505281,white,46510735.22413188,17644,2636.0652473436794
131350505742,asian,13591954.45590169,5293,2567.9112896092365
131350505742,black,29139420.73713763,11731,2483.9673290544397
131350505742,hispanic,24822787.324156456,9688,2562.219996300212
131350505742,native,1202637.3968573762,460,2614.4291236029917
131350505742,population,102549479.67701651,40607,2525.413836949701
131350505742,white,35960890.97800097,14092,2551.865666903276
131350505761,asian,19357787.97213917,8250,2346.3985420774748
131350505761,black,33526005.583766814,14671,2285.188847642752
131350505761,hispanic,43835948.115133174,19724,2222.467456658547
131350505761,native,1303504.1799715052,576,2263.0280902283075
131350505761,population,118169081.89307104,51815,2280.596002954184
131350505761,white,23331408.8538723,10047,2322.2264212075543
131350505861,asian,4222025.231120302,1867,2261.3954103483143
131350505861,black,33370891.13864393,13842,2410.843168519284
131350505861,hispanic,15764354.909012113,6751,2335.1140436990245
131350505861,native,485016.6479053492,223,2174.9625466607586
131350505861,population,73674669.78572503,30913,2383.2908415787865
131350505861,white,19567243.941991776,8167,2395.8912626413344
131350506132,asian,7978641.182485472,3173,2514.5418161000543
131350506132,black,14992089.409003006,5774,2596.482405438692
131350506132,hispanic,8963830.13758089,3739,2397.387038668331
131350506132,native,265941.13773704466,114,2332.816997693374
131350506132,population,74289869.89957479,29883,2486.0244921719636
131350506132,white,41696395.90848084,16903,2466.8044671644584
131350506162,asian,3820708.596620074,1385,2758.6343657906673
131350506162,black,8840063.769137979,3037,2910.7882018893574
131350506162,hispanic,4893770.429641858,1709,2863.5286305686705
131350506162,native,148501.58031708826,43,3453.5251236532154
131350506162,population,50649952.802812114,17350,2919.3056370496897
131350506162,white,32325342.25760391,10929,2957.7584644161325
131350506252,asian,1824568.2686596985,523,3488.658257475523
131350506252,black,20090910.58522036,5762,3486.7946173586183
131350506252,hispanic,5724763.815907198,1606,3564.610097077956
131350506252,native,216099.97584071124,53,4077.3580347304005
131350506252,population,61576601.06791933,16728,3681.0498008081854
131350506252,white,32865921.143498965,8542,3847.567448314091
131350507522,asian,4862205.337775469,1593,3052.2318504554105
131350507522,black,49274929.72449988,16165,3048.24804976801
131350507522,hispanic,12941508.356429975,4298,3011.053596191246
131350507522,native,583402.1424846728,180,3241.123013803738
131350507522,population,114832129.88185744,36699,3129.0261282829897
131350507522,white,44969109.49051681,13797,3259.339674604393
131350507612,asian,19272440.474380426,6996,2754.779942021216
131350507612,black,26125782.787345663,9452,2764.048115461877
131350507612,hispanic,18953760.309805743,7102,2668.7919332308848
131350507612,native,1018416.9207089,359,2836.815935122284
131350507612,population,113294585.5661622,41217,2748.734395180683
131350507612,white,47423974.86686685,17170,2762.0253271326064
Bogan Park Community Recreation Center,asian,9686570.296076847,3405,2844.807722783215
Bogan Park Community Recreation Center,black,11973336.749973485,4093,2925.320486189466
Bogan Park Community Recreation Center,hispanic,13432003.543501519,4346,3090.65889173988
Bogan Park Community Recreation Center,native,463971.30264709686,154,3012.80066653959
Bogan Park Community Recreation Center,population,70124109.17067027,24873,2819.2863414413328
Bogan Park Community Recreation Center,white,34510915.61385499,12865,2682.542993692576
Dacula Park Activity Building,asian,2809412.815890017,958,2932.5812274426066
Dacula Park Activity Building,black,16095789.50575777,5371,2996.795662959927
Dacula Park Activity Building,hispanic,7832383.1434328845,2820,2777.440831004569
Dacula Park Activity Building,native,295864.4224580469,105,2817.756404362351
Dacula Park Activity Building,population,51369360.50968493,17914,2867.5538969345166
Dacula Park Activity Building,white,23979083.828490656,8545,2806.2122678163437
Gas South-Hudgens Center for Arts,asian,31081900.087694023,11773,2640.100236787057
Gas South-Hudgens Center for Arts,black,15656680.802940886,6001,2609.0119651626205
Gas South-Hudgens Center for Arts,hispanic,10751366.546834435,3809,2822.621829045533
Gas South-Hudgens Center for Arts,native,279056.025083961,103,2709.28179693166
Gas South-Hudgens Center for Arts,population,88158886.7006305,32065,2749.380530192749
Gas South-Hudgens Center for Arts,white,29457208.592717264,10040,2933.984919593353
George Pierce Park Community Recreation Center,asian,24399808.410902087,8590,2840.4899197790555
George Pierce Park Community Recreation Center,black,13227851.885779452,4386,3015.9261025488945
George Pierce Park Community Recreation Center,hispanic,7620568.5950486455,2522,3021.6370321366558
George Pierce Park Community Recreation Center,native,228897.41281400598,93,2461.2625033764084
George Pierce Park Community Recreation Center,population,92929819.28024794,31603,2940.537900840045
George Pierce Park Community Recreation Center,white,45680102.61126609,15408,2964.700325237934
Gwinnett County Fairgrounds,asian,10219190.573051073,4305,2373.7957196402026
Gwinnett County Fairgrounds,black,22035062.33658498,9379,2349.4042367613797
Gwinnett County Fairgrounds,hispanic,12811385.666788591,5332,2402.73549639696
Gwinnett County Fairgrounds,native,450562.5176816141,189,2383.928664982085
Gwinnett County Fairgrounds,population,79467855.49391018,32367,2455.2122684805568
Gwinnett County Fairgrounds,white,33786472.033563174,13117,2575.777390681038
Gwinnett County Public Library - Centerville Branch,asian,7090082.209082737,2600,2726.9546958010524
Gwinnett County Public Library - Centerville Branch,black,47751436.573707715,18190,2625.1476950911333
Gwinnett County Public Library - Centerville Branch,hispanic,12145372.605400335,4577,2653.5662235963155
Gwinnett County Public Library - Centerville Branch,native,666302.9549883173,223,2987.905627750302
Gwinnett County Public Library - Centerville Branch,population,100736602.78379375,37047,2719.1568219773194
Gwinnett County Public Library - Centerville Branch,white,31775164.69083324,10969,2896.815087139506
Lenora Park Gym,asian,1181839.5222223483,455,2597.4494993897765
Lenora Park Gym,black,33580236.860608555,12082,2779.360773101188
Lenora Park Gym,hispanic,5295578.816406702,1711,3095.0197641184695
Lenora Park Gym,native,196686.9202172822,72,2731.762780795586
Lenora Park Gym,population,52902244.07694956,18664,2834.4537117954114
Lenora Park Gym,white,11669296.475243347,3965,2943.0760341092932
Lucky Shoals Park Community Recreation Center,asian,10658162.460567353,4940,2157.522765297035
Lucky Shoals Park Community Recreation Center,black,13750290.921329714,6718,2046.7834059734614
Lucky Shoals Park Community Recreation Center,hispanic,27671688.85225454,13239,2090.1645783106383
Lucky Shoals Park Community Recreation Center,native,1078354.0849700205,544,1982.2685385478317
Lucky Shoals Park Community Recreation Center,population,60650288.80325921,29302,2069.834441446291
Lucky Shoals Park Community Recreation Center,white,10055424.525835048,5029,1999.4878754891724
Mountain Park Activity Building,asian,12325892.842848307,4427,2784.2540869320774
Mountain Park Activity Building,black,13244076.928464698,4589,2886.048578876596
Mountain Park Activity Building,hispanic,7069590.629424086,2514,2812.088555856836
Mountain Park Activity Building,native,353351.10029893793,131,2697.336643503343
Mountain Park Activity Building,population,71033687.05121785,25590,2775.8377120444648
