id_dest,demographic,weighted_dist,demo_pop,avg_dist
131350501111-bg_centroid,asian,277882.47681287624,145,1916.4308745715603
131350501111-bg_centroid,black,13219696.690401077,6230,2121.9416838525003
131350501111-bg_centroid,hispanic,5953981.653882027,2984,1995.3021628290974
131350501111-bg_centroid,native,3818299.326255972,1831,2085.362821548865
131350501111-bg_centroid,population,24502703.1775203,11769,2081.9698510935764
131350501111-bg_centroid,white,21746165.814087514,10417,2087.565116068687
131350501191-bg_centroid,asian,54131.35861699163,36,1503.6488504719898
131350501191-bg_centroid,black,15740631.501013156,8300,1896.4616266280912
131350501191-bg_centroid,hispanic,2156976.3709333767,1275,1691.7461732810798
131350501191-bg_centroid,native,2562217.25694745,1402,1827.5444058113053
131350501191-bg_centroid,population,26682169.51988927,14387,1854.6027330151712
131350501191-bg_centroid,white,24739108.502102464,13311,1858.546202546951
131350501211-bg_centroid,asian,76181.92777657197,42,1813.8554232517138
131350501211-bg_centroid,black,10314536.10790061,6066,1700.385115051205
131350501211-bg_centroid,hispanic,2115660.4913029885,1395,1516.6025027261567
131350501211-bg_centroid,native,2100731.9609573274,1345,1561.8824988530316
131350501211-bg_centroid,population,16358376.603114752,9866,1658.055605424159
131350501211-bg_centroid,white,14924977.885957185,8958,1666.106037726857
131350502191-bg_centroid,asian,165505.66552495438,99,1671.7743992419635
131350502191-bg_centroid,black,12599474.812474264,7354,1713.281861908385
131350502191-bg_centroid,hispanic,5255004.951112146,3280,1602.1356558268737
131350502191-bg_centroid,native,5219819.814953567,3664,1424.6233119414758
131350502191-bg_centroid,population,28798043.04345842,17851,1613.2453668398646
131350502191-bg_centroid,white,26058777.530511323,16148,1613.7464410769956
131350502232-bg_centroid,asian,130679.62849398791,64,2041.8691952185611
131350502232-bg_centroid,black,15987753.05729361,8634,1851.720298505167
131350502232-bg_centroid,hispanic,2148819.206950151,1266,1697.3295473539897
131350502232-bg_centroid,native,3542824.364967376,2198,1611.840020458315
131350502232-bg_centroid,population,30206759.836144876,16559,1824.1898566426037
131350502232-bg_centroid,white,28025679.00252869,15339,1827.0864464781725
131350502253-bg_centroid,asian,89513.94106851428,59,1517.1854418392252
131350502253-bg_centroid,black,10290170.876050977,6467,1591.1815178677869
131350502253-bg_centroid,hispanic,3799714.8303733557,2573,1476.7644113382648
131350502253-bg_centroid,native,4026231.5492494325,2809,1433.332698202005
131350502253-bg_centroid,population,21680156.68147525,13926,1556.811480789548
131350502253-bg_centroid,white,19467382.99583099,12472,1560.887026606077
131350502302-bg_centroid,asian,273823.32314552553,213,1285.555507725472
131350502302-bg_centroid,black,7662358.785400981,5051,1516.9983736687748
131350502302-bg_centroid,hispanic,8730540.17868291,6527,1337.6038269776177
131350502302-bg_centroid,native,6018937.856805541,4786,1257.6134259936357
131350502302-bg_centroid,population,30138825.700307135,21408,1407.830049528547
131350502302-bg_centroid,white,27000997.033116728,19158,1409.3849584046732
131350502353-bg_centroid,asian,29880.48186568491,24,1245.0200777368711
131350502353-bg_centroid,black,7115119.669367318,4714,1509.359284973975
131350502353-bg_centroid,hispanic,1198558.7349249322,987,1214.345222821613
131350502353-bg_centroid,native,1860423.8494964023,1565,1188.7692329050494
131350502353-bg_centroid,population,15049207.582124315,11028,1364.6361608745299
131350502353-bg_centroid,white,14109447.145473702,10275,1373.1822039390463
131350502381-bg_centroid,asian,55931.874392347665,32,1747.8710747608645
131350502381-bg_centroid,black,7515734.064253522,4028,1865.8724091989875
131350502381-bg_centroid,hispanic,2249593.934532874,1300,1730.4568727175952
131350502381-bg_centroid,native,3807952.9669761686,2637,1444.0473898278985
131350502381-bg_centroid,population,23222273.421933983,13776,1685.7050974110034
131350502381-bg_centroid,white,21653931.437438637,12901,1678.4692223423485
131350502393-bg_centroid,asian,116763.8795949733,53,2203.0920678296848
131350502393-bg_centroid,black,10458365.9354332,6008,1740.7400025687748
131350502393-bg_centroid,hispanic,3715863.227069667,1815,2047.3075631237834
131350502393-bg_centroid,native,3519777.7514178827,2158,1631.0369561714008
131350502393-bg_centroid,population,24184830.791625027,14170,1706.762935188781
131350502393-bg_centroid,white,22254194.332404833,13144,1693.1066899273305
131350503061-bg_centroid,asian,200291.90963103803,175,1144.5251978916458
131350503061-bg_centroid,black,1384317.0870464165,1098,1260.7623743592135
131350503061-bg_centroid,hispanic,4653264.241379691,3818,1218.7700998899138
131350503061-bg_centroid,native,2208783.282414052,1275,1732.3790450306292
131350503061-bg_centroid,population,8799732.546035832,6673,1318.7071101507315
131350503061-bg_centroid,white,7617259.111757624,5732,1328.9007522256845
131350503082-bg_centroid,asian,92665.07913200873,52,1782.0207525386295
131350503082-bg_centroid,black,14234080.382173462,8554,1664.0262312571267
131350503082-bg_centroid,hispanic,1662961.941587215,907,1833.4751285415823
131350503082-bg_centroid,native,2661419.328976843,1391,1913.3136800696211
131350503082-bg_centroid,population,22353304.300851792,13243,1687.9335725176918
131350503082-bg_centroid,white,20890059.354006734,12379,1687.5401368452003
131350503182-bg_centroid,asian,140110.70992357016,119,1177.4009237274804
131350503182-bg_centroid,black,11236875.208358645,7668,1465.4245185652903
131350503182-bg_centroid,hispanic,4391980.221749846,3805,1154.26549848879
131350503182-bg_centroid,native,6959040.251232412,5960,1167.6242032269147
131350503182-bg_centroid,population,24893462.648787353,18964,1312.6694077614086
131350503182-bg_centroid,white,22572325.242225945,16998,1327.940066021058
131350503272-bg_centroid,asian,355488.58165015955,256,1388.6272720709358
131350503272-bg_centroid,black,7183273.3499487825,4500,1596.282966655285
131350503272-bg_centroid,hispanic,9697235.842447199,7099,1366.0002595361598
131350503272-bg_centroid,native,5550927.785599229,3506,1583.2651984025183
131350503272-bg_centroid,population,26077069.638626274,17374,1500.9249245209091
131350503272-bg_centroid,white,23033791.432172477,15213,1514.086073238183
131350504153-bg_centroid,asian,114226.95754132772,74,1543.6075343422665
131350504153-bg_centroid,black,6481687.647838288,3515,1844.0078656723438
131350504153-bg_centroid,hispanic,2577537.5251705647,1428,1804.9982669261658
131350504153-bg_centroid,native,12449681.89664859,6027,2065.651550796182
131350504153-bg_centroid,population,23764711.503242657,12098,1964.3504300911436
131350504153-bg_centroid,white,22064467.06227065,11219,1966.7053268803502
131350504411-bg_centroid,asian,266708.5221639719,173,1541.667758173248
131350504411-bg_centroid,black,6896017.374590077,3868,1782.8379975672383
131350504411-bg_centroid,hispanic,7121696.332487689,4920,1447.4992545706687
131350504411-bg_centroid,native,4347318.197498362,3323,1308.251037465652
131350504411-bg_centroid,population,22991585.621252846,14933,1539.6494757418366
131350504411-bg_centroid,white,20544586.88491702,13227,1553.2310338638406
131350504431-bg_centroid,asian,204648.86085444692,151,1355.290469234748
131350504431-bg_centroid,black,9346642.43259667,4827,1936.325343401009
131350504431-bg_centroid,hispanic,6030888.166416497,4160,1449.7327323116579
131350504431-bg_centroid,native,5421816.098532482,3686,1470.9213506599247
131350504431-bg_centroid,population,27348335.36083354,17123,1597.1696175222532
131350504431-bg_centroid,white,25101034.715559307,15619,1607.0833417990466
131350504451-bg_centroid,asian,461736.3885150135,456,1012.5797993750297
131350504451-bg_centroid,black,4001571.7802129085,3324,1203.8422924828244
131350504451-bg_centroid,hispanic,11751566.285863904,11335,1036.750444275598
131350504451-bg_centroid,native,5738092.817789635,4338,1322.7507648201095
131350504451-bg_centroid,population,23641842.27517192,20458,1155.62822735223
131350504451-bg_centroid,white,20356143.741317827,17560,1159.2336982527236
131350504472-bg_centroid,asian,673158.5128634014,457,1472.9945576879682
131350504472-bg_centroid,black,6824090.995980629,4268,1598.8966719729683
131350504472-bg_centroid,hispanic,16112835.067108642,11537,1396.6226113468529
131350504472-bg_centroid,native,6388481.890424947,4549,1404.3706068201686
131350504472-bg_centroid,population,33354330.9322287,22712,1468.5774450611439
131350504472-bg_centroid,white,28912058.522930358,19589,1475.933356625165
131350504621-bg_centroid,asian,262026.9166539047,119,2201.9068626378544
131350504621-bg_centroid,black,26393173.685204003,12175,2167.8171404685013
131350504621-bg_centroid,hispanic,4887437.326114847,2180,2241.943727575618
131350504621-bg_centroid,native,7615510.682362121,3555,2142.1970977108635
131350504621-bg_centroid,population,48282496.71979837,22351,2160.1940279986743
131350504621-bg_centroid,white,44726171.71889971,20720,2158.5990211824187
131350505213-bg_centroid,asian,240370.2913786111,143,1680.911128521756
131350505213-bg_centroid,black,7454832.707948186,5009,1488.2876238666772
131350505213-bg_centroid,hispanic,5183189.92772985,3455,1500.1996896468452
131350505213-bg_centroid,native,5048522.277328836,3444,1465.8891629874668
131350505213-bg_centroid,population,20372384.972601026,13585,1499.6234797645216
131350505213-bg_centroid,white,18137320.88822512,12157,1491.924067469369
131350505263-bg_centroid,asian,242381.7237252307,210,1154.1986844058604
131350505263-bg_centroid,black,4866654.983858404,3536,1376.316454711087
131350505263-bg_centroid,hispanic,10002617.678482406,7805,1281.5653655967208
131350505263-bg_centroid,native,9784289.902267568,6869,1424.4125640220655
131350505263-bg_centroid,population,28560685.247673333,20773,1374.8945866111458
131350505263-bg_centroid,white,25111801.916150913,18084,1388.6198803445538
131350505393-bg_centroid,asian,314899.0674737036,251,1254.577958062564
131350505393-bg_centroid,black,6291936.758538665,4441,1416.7837780992265
131350505393-bg_centroid,hispanic,11591392.87221528,8701,1332.1908829117665
131350505393-bg_centroid,native,9004311.388819491,6348,1418.448548963373
131350505393-bg_centroid,population,31241807.851527404,22544,1385.8147556568224
131350505393-bg_centroid,white,27139457.14516568,19443,1395.8472018292282
131350505493-bg_centroid,asian,185757.29015830602,106,1752.4272656443964
131350505493-bg_centroid,black,12624778.394773975,7754,1628.1633214823285
131350505493-bg_centroid,hispanic,5377751.66517199,3204,1678.449333699123
131350505493-bg_centroid,native,5464958.321635584,3147,1736.5612715715235
131350505493-bg_centroid,population,29495234.56825324,17695,1666.8682999860548
131350505493-bg_centroid,white,26406822.40090836,15866,1664.3654607908961
131350505591-bg_centroid,asian,419156.70763902395,274,1529.7690059818392
131350505591-bg_centroid,black,6895550.289823088,4242,1625.542265399125
131350505591-bg_centroid,hispanic,8024850.130316388,5252,1527.9608016596321
131350505591-bg_centroid,native,8267875.83639338,5390,1533.9287266035956
131350505591-bg_centroid,population,27397115.369018614,17528,1563.0485719430976
131350505591-bg_centroid,white,24226365.30513656,15461,1566.9339179313474
131350505601-bg_centroid,asian,209531.47482606367,117,1790.8673062056723
131350505601-bg_centroid,black,7790091.634306887,5316,1465.4047468598358
131350505601-bg_centroid,hispanic,5047374.653830914,2966,1701.7446573941045
131350505601-bg_centroid,native,4970133.263852325,3227,1540.1714483583282
131350505601-bg_centroid,population,24026724.523574784,15780,1522.6061168298343
131350505601-bg_centroid,white,21599455.44385912,14298,1510.6627111385592
131350505641-bg_centroid,asian,194439.03059633652,118,1647.788394884208
131350505641-bg_centroid,black,7295402.595110099,4830,1510.4353198985712
131350505641-bg_centroid,hispanic,4952564.985148075,3324,1489.9413312719842
131350505641-bg_centroid,native,7554672.811802224,5574,1355.3413727668146
131350505641-bg_centroid,population,21496733.55726626,14867,1445.936204833945
