id_dest,demographic,weighted_dist,demo_pop,avg_dist
131350501151-bg_centroid,asian,4931862.733360466,733,6728.32569353406
131350501151-bg_centroid,black,592201358.9666657,79995,7402.979673312904
131350501151-bg_centroid,hispanic,147755237.62030715,21703,6808.055919472292
131350501151-bg_centroid,native,182886460.3071468,24928,7336.58778510698
131350501151-bg_centroid,population,1157116224.2457566,155833,7425.360637642583
131350501151-bg_centroid,white,1058790287.9849594,142305,7440.2887318432895
131350503361-bg_centroid,asian,12069563.436140066,1883,6409.752223122711
131350503361-bg_centroid,black,283150233.9736253,49021,5776.100731801173
131350503361-bg_centroid,hispanic,325788127.8664064,50917,6398.415614949946
131350503361-bg_centroid,native,212228675.03272998,34243,6197.724353378208
131350503361-bg_centroid,population,1013709936.7746661,161246,6286.729201187416
131350503361-bg_centroid,white,904141614.7428277,143739,6290.162132356755
131350505881-bg_centroid,asian,1943413.372138344,293,6632.810143816873
131350505881-bg_centroid,black,77643121.96845068,12092,6421.03225011997
131350505881-bg_centroid,hispanic,50931424.94942582,8017,6352.928146367197
131350505881-bg_centroid,native,101555515.99429485,17554,5785.320496427871
131350505881-bg_centroid,population,244648068.16259181,40201,6085.621456247153
131350505881-bg_centroid,white,219964327.1654624,36159,6083.252500496762
131350506171-bg_centroid,asian,204661.69526063217,32,6395.677976894755
131350506171-bg_centroid,black,63029109.9561474,10956,5752.930810163144
131350506171-bg_centroid,hispanic,9810370.34023598,1644,5967.378552454976
131350506171-bg_centroid,native,17505848.49633462,2786,6283.506280091393
131350506171-bg_centroid,population,100642151.32275431,16999,5920.474811621525
131350506171-bg_centroid,white,92983071.2056606,15708,5919.472320197389
131350506233-bg_centroid,asian,780010.7230710682,112,6964.38145599168
131350506233-bg_centroid,black,73687223.40661934,10805,6819.733772014747
131350506233-bg_centroid,hispanic,20411690.846986584,3048,6696.74896554678
131350506233-bg_centroid,native,38280074.89365223,5478,6987.965478943452
131350506233-bg_centroid,population,142924554.78343004,20744,6889.922617789724
131350506233-bg_centroid,white,130046239.54257739,18909,6877.478425224886
131350506252-bg_centroid,asian,406.2964503995709,1,406.2964503995709
131350506252-bg_centroid,black,863501.811552786,679,1271.7257902102888
131350506252-bg_centroid,hispanic,195663.3281520267,183,1069.198514491949
131350506252-bg_centroid,native,798762.2517028763,743,1075.0501368813948
131350506252-bg_centroid,population,1939009.3983184972,1686,1150.0648863099034
