,id_orig,id_dest,distance_m,location,address,dest_lat,dest_lon,orig_lat,orig_lon,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
61210,131350501051000,131350501151-bg_centroid,4329.284614157891,Gwinett_GA,,34.0991703,-83.992868,34.135637,-83.9763925,,2,0,2,2,0,0,0,2,0,0,8658.569228315782,4.689646055996563,1,1.0
61801,131350501051001,131350501151-bg_centroid,4452.0836169617805,Gwinett_GA,,34.0991703,-83.992868,34.1375564,-83.9791176,,11,1,10,11,9,1,1,0,0,0,48972.91978657959,4.899782193884908,1,1.0
62392,131350501051002,131350501151-bg_centroid,4020.4669743070313,Gwinett_GA,,34.0991703,-83.992868,34.1351465,-83.9885074,,10,1,9,10,5,3,2,0,0,0,40204.66974307031,4.200162866077486,1,1.0
62983,131350501051006,131350501151-bg_centroid,3702.12965904536,Gwinett_GA,,34.0991703,-83.992868,34.1324488,-83.9940952,,54,8,46,54,10,37,0,1,0,6,199915.00158844944,3.7490084912772628,1,1.0
63574,131350501051007,131350501151-bg_centroid,3605.127710517076,Gwinett_GA,,34.0991703,-83.992868,34.1315751,-83.9916057,,27,7,20,18,7,10,1,0,0,0,97338.44818396105,3.6214197031845696,1,1.0
64165,131350501051009,131350501151-bg_centroid,3079.1242734610105,Gwinett_GA,,34.0991703,-83.992868,34.1265555,-83.9879096,,1,0,1,1,1,0,0,0,0,0,3079.1242734610105,3.001484202848427,1,1.0
64756,131350501051010,131350501151-bg_centroid,2922.2107361509024,Gwinett_GA,,34.0991703,-83.992868,34.1254502,-83.9927658,,71,2,69,69,15,53,0,0,0,1,207476.96226671408,2.8379896334069366,1,1.0
65347,131350501051011,131350501151-bg_centroid,2868.069553950067,Gwinett_GA,,34.0991703,-83.992868,34.1249223,-83.9946267,,24,8,16,17,4,11,0,0,0,2,68833.66929480161,2.783669423167622,1,1.0
65938,131350501051012,131350501151-bg_centroid,2764.4044061430945,Gwinett_GA,,34.0991703,-83.992868,34.1240137,-83.9939929,,18,0,18,17,0,17,0,0,0,0,49759.2793105757,2.6825457893292386,1,1.0
66529,131350501051013,131350501151-bg_centroid,2604.6178629662354,Gwinett_GA,,34.0991703,-83.992868,34.1225939,-83.993001,,39,0,39,37,0,37,0,0,0,0,101580.09665568318,2.5338243401699803,1,1.0
67120,131350501051014,131350501151-bg_centroid,3483.2416840195924,Gwinett_GA,,34.0991703,-83.992868,34.130357,-83.9964259,,45,0,45,44,3,41,0,0,0,0,156745.87578088164,3.467238240485445,1,1.0
67711,131350501051015,131350501151-bg_centroid,3660.945119480308,Gwinett_GA,,34.0991703,-83.992868,34.1318404,-83.9977936,,1,0,1,0,0,0,0,0,0,0,3660.945119480308,3.694297449422328,1,1.0
68302,131350501051016,131350501151-bg_centroid,3459.956631028331,Gwinett_GA,,34.0991703,-83.992868,34.129924,-83.9985873,,9,2,7,9,4,2,1,1,0,1,31139.609679254976,3.4385390254257575,1,1.0
68893,131350501051018,131350501151-bg_centroid,2930.4957241348857,Gwinett_GA,,34.0991703,-83.992868,34.1246613,-84.0009496,,11,0,11,11,3,7,0,1,0,0,32235.452965483742,2.846395021030634,1,1.0
69484,131350501051019,131350501151-bg_centroid,2851.89628743475,Gwinett_GA,,34.0991703,-83.992868,34.1244764,-83.9979069,,27,1,26,26,17,9,0,0,0,0,77001.19976073825,2.7676452693256883,1,1.0
70075,131350501051020,131350501151-bg_centroid,3089.0724074643,Gwinett_GA,,34.0991703,-83.992868,34.1268332,-83.9959542,,49,4,45,47,4,38,0,3,0,2,151364.54796575068,3.0121615098570755,1,1.0
70666,131350501051021,131350501151-bg_centroid,2604.4904842325864,Gwinett_GA,,34.0991703,-83.992868,34.1217916,-84.0002048,,7,0,7,7,7,0,0,0,0,0,18231.433389628106,2.5337091338578768,1,1.0
71257,131350501051022,131350501151-bg_centroid,2740.215313920862,Gwinett_GA,,34.0991703,-83.992868,34.1228934,-84.0009257,,10,5,5,7,5,1,0,0,0,1,27402.15313920862,2.659483317995163,1,1.0
71848,131350501051024,131350501151-bg_centroid,2305.46679811628,Gwinett_GA,,34.0991703,-83.992868,34.1198956,-83.9935736,,172,62,110,156,89,32,0,8,0,27,396540.28927600017,2.2771996741488394,1,1.0
72439,131350501051025,131350501151-bg_centroid,2367.538087421204,Gwinett_GA,,34.0991703,-83.992868,34.120234,-83.9966217,,3,1,2,2,0,2,0,0,0,0,7102.6142622636125,2.328217826753236,1,1.0
73030,131350501051026,131350501151-bg_centroid,2196.067559666448,Gwinett_GA,,34.0991703,-83.992868,34.1187078,-83.9963551,,17,2,15,17,10,3,0,2,0,2,37333.148514329616,2.18998772218374,1,1.0
73621,131350501051027,131350501151-bg_centroid,2338.536420735378,Gwinett_GA,,34.0991703,-83.992868,34.1198826,-83.9972728,,10,0,10,10,9,1,0,0,0,0,23385.36420735378,2.3042398101655137,1,1.0
74212,131350501051028,131350501151-bg_centroid,2410.651330900266,Gwinett_GA,,34.0991703,-83.992868,34.1208496,-83.9929742,,12,2,10,10,0,10,0,0,0,0,28927.815970803196,2.3643249666671924,1,1.0
74803,131350501051029,131350501151-bg_centroid,2494.333722519574,Gwinett_GA,,34.0991703,-83.992868,34.1215883,-83.9938268,,7,0,7,7,0,7,0,0,0,0,17460.336057637018,2.4360146193114005,1,1.0
75394,131350501051030,131350501151-bg_centroid,2668.7540219649804,Gwinett_GA,,34.0991703,-83.992868,34.1231261,-83.9946393,,21,9,12,15,0,12,0,0,0,3,56043.83446126459,2.592502022612011,1,1.0
75985,131350501051031,131350501151-bg_centroid,2446.071398280736,Gwinett_GA,,34.0991703,-83.992868,34.1211548,-83.9919367,,22,5,17,18,1,17,0,0,0,0,53813.57076217619,2.3944077232310237,1,1.0
76576,131350501051032,131350501151-bg_centroid,1965.201506007408,Gwinett_GA,,34.0991703,-83.992868,34.1167698,-83.9948187,,72,35,37,61,33,4,3,1,0,20,141494.50843253336,2.0167499662690362,1,1.0
77167,131350501051033,131350501151-bg_centroid,2166.0250698418536,Gwinett_GA,,34.0991703,-83.992868,34.1182799,-83.9974311,,24,5,19,22,17,2,0,0,0,3,51984.60167620449,2.1666282106164023,1,1.0
77758,131350501051034,131350501151-bg_centroid,2374.679295234841,Gwinett_GA,,34.0991703,-83.992868,34.1199092,-83.9990236,,25,9,16,20,13,4,0,2,0,1,59366.98238087103,2.3341602234867795,1,1.0
78349,131350501051035,131350501151-bg_centroid,2490.37843440823,Gwinett_GA,,34.0991703,-83.992868,34.1208899,-83.999468,,23,4,19,21,11,5,0,2,0,3,57278.703991389295,2.432577740754498,1,1.0
78940,131350501052000,131350501151-bg_centroid,5019.743010649725,Gwinett_GA,,34.0991703,-83.992868,34.1276424,-83.9505545,,10,9,1,9,6,1,0,0,0,2,50197.43010649725,6.000358765439969,1,1.0
79531,131350501052001,131350501151-bg_centroid,4857.272275764234,Gwinett_GA,,34.0991703,-83.992868,34.1276383,-83.9528501,,100,9,91,91,28,22,0,41,0,0,485727.22757642344,5.662268579416276,1,1.0
80122,131350501052002,131350501151-bg_centroid,4825.26602215996,Gwinett_GA,,34.0991703,-83.992868,34.1290517,-83.9548604,,17,3,14,13,8,2,0,3,0,0,82029.52237671932,5.597946581025648,1,1.0
80713,131350501052003,131350501151-bg_centroid,4683.020009250137,Gwinett_GA,,34.0991703,-83.992868,34.1273885,-83.9551064,,17,5,12,16,8,2,3,2,0,1,79611.34015725233,5.320804485379247,1,1.0
81304,131350501052004,131350501151-bg_centroid,4642.659704188721,Gwinett_GA,,34.0991703,-83.992868,34.1286697,-83.9571795,,70,9,61,62,29,12,0,18,0,3,324986.17929321044,5.24469832361144,1,1.0
81895,131350501052005,131350501151-bg_centroid,4354.472960169542,Gwinett_GA,,34.0991703,-83.992868,34.1275539,-83.9602805,,189,27,162,176,56,53,0,56,0,11,822995.3894720434,4.732001212155716,1,1.0
82486,131350501052011,131350501151-bg_centroid,3064.9523913184594,Gwinett_GA,,34.0991703,-83.992868,34.1234917,-83.9772024,,294,171,123,249,120,35,2,2,1,89,901096.003047627,2.9863388886291724,1,1.0
83077,131350501052012,131350501151-bg_centroid,2963.366034428631,Gwinett_GA,,34.0991703,-83.992868,34.1215465,-83.9753848,,150,109,41,127,54,11,6,0,0,56,444504.90516429464,2.8799890440529947,1,1.0
83668,131350501052013,131350501151-bg_centroid,3052.3717926888426,Gwinett_GA,,34.0991703,-83.992868,34.1229257,-83.976254,,83,30,53,73,40,17,2,1,0,13,253346.85879317395,2.972958203976547,1,1.0
84259,131350501052014,131350501151-bg_centroid,2937.90017470611,Gwinett_GA,,34.0991703,-83.992868,34.1221581,-83.9771371,,57,36,21,47,6,14,2,1,0,24,167460.30995824828,2.8539281392708733,1,1.0
84850,131350501052016,131350501151-bg_centroid,3786.2518259748767,Gwinett_GA,,34.0991703,-83.992868,34.1307844,-83.9775903,,6,2,4,1,0,0,0,0,0,1,22717.510955849262,3.8632901031820808,1,1.0
85441,131350501052019,131350501151-bg_centroid,2041.414231520518,Gwinett_GA,,34.0991703,-83.992868,34.1150601,-83.9817619,,7,6,1,2,0,0,1,1,0,0,14289.899620643626,2.0723676675987246,1,1.0
