id_dest,demographic,weighted_dist,demo_pop,avg_dist
131350502262-bg_centroid,asian,4502902.588189993,698,6451.149839813744
131350502262-bg_centroid,black,438710789.23884314,67824,6468.37091942149
131350502262-bg_centroid,hispanic,119630882.57959367,20154,5935.838175031938
131350502262-bg_centroid,native,145182896.45233104,23943,6063.688612635469
131350502262-bg_centroid,population,814848202.3589743,131945,6175.665636128496
131350502262-bg_centroid,white,743287574.8213654,120131,6187.308644907354
131350502322-bg_centroid,asian,8590402.344355702,1154,7444.022828731111
131350502322-bg_centroid,black,332596543.773632,54035,6155.205769846062
131350502322-bg_centroid,hispanic,243327196.7981193,33337,7299.013012512203
131350502322-bg_centroid,native,236266535.69377556,34745,6800.015417866616
131350502322-bg_centroid,population,1005841412.831949,157093,6402.840437396631
131350502322-bg_centroid,white,898798630.5289881,141386,6357.055369902169
131350504463-bg_centroid,asian,10639555.756231451,2104,5056.823078056774
131350504463-bg_centroid,black,328828960.3488472,44761,7346.327391006617
131350504463-bg_centroid,hispanic,297202380.93251276,56190,5289.239738966236
131350504463-bg_centroid,native,213123307.98212948,34546,6169.261505879971
131350504463-bg_centroid,population,979627700.9534072,157685,6212.561124732265
131350504463-bg_centroid,white,874043552.0892453,139651,6258.770449830257
131350505881-bg_centroid,asian,1246762.0436168555,225,5541.164638297136
131350505881-bg_centroid,black,38117659.72078596,8235,4628.738278176802
131350505881-bg_centroid,hispanic,34091421.32452528,6361,5359.443691954925
131350505881-bg_centroid,native,65202114.580479845,14049,4641.050222825813
131350505881-bg_centroid,population,147149885.15246797,30732,4788.1649470411285
131350505881-bg_centroid,white,130010252.39278911,27420,4741.438818117765
131350506171-bg_centroid,asian,257410.1241852105,38,6773.950636452908
131350506171-bg_centroid,black,72602517.00337362,12051,6024.605178273473
131350506171-bg_centroid,hispanic,11096853.328881053,1787,6209.766832054311
131350506171-bg_centroid,native,23470165.166991204,3496,6713.433972251489
131350506171-bg_centroid,population,118358645.60659961,19047,6214.030850349116
131350506171-bg_centroid,white,109909343.95979501,17669,6220.462049906334
131350506233-bg_centroid,asian,549583.8879291937,88,6245.271453740837
131350506233-bg_centroid,black,47123245.00901385,8098,5819.1213891101315
131350506233-bg_centroid,hispanic,14462109.009921107,2444,5917.393211915347
131350506233-bg_centroid,native,25731437.675633986,4190,6141.154576523624
131350506233-bg_centroid,population,93295029.6169797,15676,5951.456341986457
131350506233-bg_centroid,white,84901332.53273112,14296,5938.817328814432
131350506252-bg_centroid,asian,406.2964503995709,1,406.2964503995709
131350506252-bg_centroid,black,863501.811552786,679,1271.7257902102888
131350506252-bg_centroid,hispanic,195663.3281520267,183,1069.198514491949
131350506252-bg_centroid,native,798762.2517028763,743,1075.0501368813948
131350506252-bg_centroid,population,1939009.3983184972,1686,1150.0648863099034
