,id_orig,id_dest,distance_m,location,address,dest_lat,dest_lon,orig_lat,orig_lon,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
61256,131350501051000,131350502262-bg_centroid,9786.284756917586,Gwinett_GA,,34.0506235,-84.0038883,34.135637,-83.9763925,,2,0,2,2,0,0,0,2,0,0,19572.569513835173,32.89291294751415,1,1.0
61847,131350501051001,131350502262-bg_centroid,9931.977186809583,Gwinett_GA,,34.0506235,-84.0038883,34.1375564,-83.9791176,,11,1,10,11,9,1,1,0,0,0,109251.74905490542,34.64878894140973,1,1.0
62438,131350501051002,131350502262-bg_centroid,9504.661471138706,Gwinett_GA,,34.0506235,-84.0038883,34.1351465,-83.9885074,,10,1,9,10,5,3,2,0,0,0,95046.61471138707,29.74706753391155,1,1.0
63029,131350501051006,131350502262-bg_centroid,9143.152465969397,Gwinett_GA,,34.0506235,-84.0038883,34.1324488,-83.9940952,,54,8,46,54,10,37,0,1,0,6,493730.23316234746,26.14579392735381,1,1.0
63620,131350501051007,131350502262-bg_centroid,9072.201476230131,Gwinett_GA,,34.0506235,-84.0038883,34.1315751,-83.9916057,,27,7,20,18,7,10,1,0,0,0,244949.43985821356,25.491933450271286,1,1.0
64211,131350501051009,131350502262-bg_centroid,8570.525401089408,Gwinett_GA,,34.0506235,-84.0038883,34.1265555,-83.9879096,,1,0,1,1,1,0,0,0,0,0,8570.525401089408,21.312347374805316,1,1.0
64802,131350501051010,131350502262-bg_centroid,8383.168813652437,Gwinett_GA,,34.0506235,-84.0038883,34.1254502,-83.9927658,,71,2,69,69,15,53,0,0,0,1,595204.9857693231,19.933641637422383,1,1.0
65393,131350501051011,131350502262-bg_centroid,8305.56891784765,Gwinett_GA,,34.0506235,-84.0038883,34.1249223,-83.9946267,,24,8,16,17,4,11,0,0,0,2,199333.6540283436,19.389064394242396,1,1.0
65984,131350501051012,131350502262-bg_centroid,8211.350504520204,Gwinett_GA,,34.0506235,-84.0038883,34.1240137,-83.9939929,,18,0,18,17,0,17,0,0,0,0,147804.30908136367,18.74782115620431,1,1.0
66575,131350501051013,131350502262-bg_centroid,8065.316173512484,Gwinett_GA,,34.0506235,-84.0038883,34.1225939,-83.993001,,39,0,39,37,0,37,0,0,0,0,314547.3307669869,17.795577054870588,1,1.0
67166,131350501051014,131350502262-bg_centroid,8892.564402362501,Gwinett_GA,,34.0506235,-84.0038883,34.130357,-83.9964259,,45,0,45,44,3,41,0,0,0,0,400165.39810631255,23.908638239190665,1,1.0
67757,131350501051015,131350502262-bg_centroid,9048.342148173924,Gwinett_GA,,34.0506235,-84.0038883,34.1318404,-83.9977936,,1,0,1,0,0,0,0,0,0,0,9048.342148173924,25.275748409905805,1,1.0
68348,131350501051016,131350502262-bg_centroid,8831.327099508888,Gwinett_GA,,34.0506235,-84.0038883,34.129924,-83.9985873,,9,2,7,9,4,2,1,1,0,1,79481.94389557999,23.391691674560573,1,1.0
68939,131350501051018,131350502262-bg_centroid,8237.085894256363,Gwinett_GA,,34.0506235,-84.0038883,34.1246613,-84.0009496,,11,0,11,11,3,7,0,1,0,0,90607.94483682,18.920838877739225,1,1.0
69530,131350501051019,131350502262-bg_centroid,8230.53174386617,Gwinett_GA,,34.0506235,-84.0038883,34.1244764,-83.9979069,,27,1,26,26,17,9,0,0,0,0,222224.35708438657,18.87662469692336,1,1.0
70121,131350501051020,131350502262-bg_centroid,8505.58317942996,Gwinett_GA,,34.0506235,-84.0038883,34.1268332,-83.9959542,,49,4,45,47,4,38,0,3,0,2,416773.57579206803,20.8239794979567,1,1.0
70712,131350501051021,131350502262-bg_centroid,7920.809629574373,Gwinett_GA,,34.0506235,-84.0038883,34.1217916,-84.0002048,,7,0,7,7,7,0,0,0,0,0,55445.667407020606,16.90091398371786,1,1.0
71303,131350501051022,131350502262-bg_centroid,8040.687305310067,Gwinett_GA,,34.0506235,-84.0038883,34.1228934,-84.0009257,,10,5,5,7,5,1,0,0,0,1,80406.87305310067,17.63981501669849,1,1.0
71894,131350501051024,131350502262-bg_centroid,7761.067094704042,Gwinett_GA,,34.0506235,-84.0038883,34.1198956,-83.9935736,,172,62,110,156,89,32,0,8,0,27,1334903.5402890951,15.964171093846236,1,1.0
72485,131350501051025,131350502262-bg_centroid,7769.219163052644,Gwinett_GA,,34.0506235,-84.0038883,34.120234,-83.9966217,,3,1,2,2,0,2,0,0,0,0,23307.657489157933,16.010693153793998,1,1.0
73076,131350501051026,131350502262-bg_centroid,7602.359692172848,Gwinett_GA,,34.0506235,-84.0038883,34.1187078,-83.9963551,,17,2,15,17,10,3,0,2,0,2,129240.11476693841,15.084920491503402,1,1.0
73667,131350501051027,131350502262-bg_centroid,7725.331498999135,Gwinett_GA,,34.0506235,-84.0038883,34.1198826,-83.9972728,,10,0,10,10,9,1,0,0,0,0,77253.31498999136,15.761825786961813,1,1.0
74258,131350501051028,131350502262-bg_centroid,7873.21603337738,Gwinett_GA,,34.0506235,-84.0038883,34.1208496,-83.9929742,,12,2,10,10,0,10,0,0,0,0,94478.59240052856,16.61621390040004,1,1.0
