id_dest,demographic,weighted_dist,demo_pop,avg_dist
Bogan Park Community Recreation Center,asian,390559.99368791323,136,2871.7646594699504
Bogan Park Community Recreation Center,black,31782650.38769443,12228,2599.1699695530283
Bogan Park Community Recreation Center,hispanic,12406449.256667614,4112,3017.1326013296725
Bogan Park Community Recreation Center,native,11308524.62644512,3939,2870.912573354943
Bogan Park Community Recreation Center,population,65237045.344318576,23751,2746.7073110318966
Bogan Park Community Recreation Center,white,58963101.64404061,21606,2729.0151644932243
Dacula Park Activity Building,asian,363204.42674721114,116,3131.07264437251
Dacula Park Activity Building,black,31686380.679450378,9713,3262.265075615194
Dacula Park Activity Building,hispanic,11539919.560107704,3547,3253.430944490472
Dacula Park Activity Building,native,25087248.772140846,7157,3505.2743848177793
Dacula Park Activity Building,population,73453249.38603376,21930,3349.4413764721276
Dacula Park Activity Building,white,66864360.35983529,19914,3357.655938527432
Esan Community of Georgia,asian,504587.5225092892,185,2727.5001216718338
Esan Community of Georgia,black,23074005.65286669,8489,2718.106449860607
Esan Community of Georgia,hispanic,9286696.161966333,3533,2628.5582117085573
Esan Community of Georgia,native,32323722.191703647,13092,2468.967475687721
Esan Community of Georgia,population,70665099.37982072,27437,2575.5403061493867
Esan Community of Georgia,white,65162332.28544729,25336,2571.9265979415572
Gas South-Hudgens Center for Arts,asian,824698.6965002702,225,3665.3275400012008
Gas South-Hudgens Center for Arts,black,51201378.94862266,15120,3386.334586549118
Gas South-Hudgens Center for Arts,hispanic,28202516.014252912,7794,3618.490635649591
Gas South-Hudgens Center for Arts,native,36135384.14785874,10865,3325.852199526805
Gas South-Hudgens Center for Arts,population,158405453.22407773,48550,3262.7281817523735
Gas South-Hudgens Center for Arts,white,143677249.98676673,44364,3238.5999906853917
George Pierce Park Community Recreation Center,asian,244050.963346083,97,2515.9893128462168
George Pierce Park Community Recreation Center,black,50531183.17958244,16515,3059.7143917397784
George Pierce Park Community Recreation Center,hispanic,8110606.296024199,2638,3074.5285428446546
George Pierce Park Community Recreation Center,native,14107482.074192163,4585,3076.877224469392
George Pierce Park Community Recreation Center,population,100538203.6220424,33354,3014.2772567620796
George Pierce Park Community Recreation Center,white,93701848.97185183,31116,3011.371929934819
Gwinnett College - Lilburn Campus,asian,2094110.7210033427,744,2814.664947585138
Gwinnett College - Lilburn Campus,black,32804398.437612478,11592,2829.917049483478
