id_dest,demographic,weighted_dist,demo_pop,avg_dist
Bethesda Senior Center,asian,2920498.372400333,876,3333.902251598554
Bethesda Senior Center,black,84814347.07384688,22981,3690.629088109607
Bethesda Senior Center,hispanic,83916901.47434276,25091,3344.502071433692
Bethesda Senior Center,native,64660994.65459412,18325,3528.5672389955866
Bethesda Senior Center,population,279175595.2295959,79502,3511.554366300167
Bethesda Senior Center,white,247291478.88760954,70140,3525.6840445909543
Bogan Park Community Recreation Center,asian,1183331.0762767587,273,4334.546066947834
Bogan Park Community Recreation Center,black,89658185.56805487,21709,4130.000717124459
Bogan Park Community Recreation Center,hispanic,32445690.70934353,7490,4331.8679184704315
Bogan Park Community Recreation Center,native,28711770.982829534,6820,4209.93709425653
Bogan Park Community Recreation Center,population,171136473.914239,41237,4150.070905115284
Bogan Park Community Recreation Center,white,153909463.3582511,37276,4128.915746277795
Dacula Park Activity Building,asian,658841.627756361,176,3743.4183395247787
Dacula Park Activity Building,black,74103071.09979261,17588,4213.274454161508
Dacula Park Activity Building,hispanic,22405570.99648328,5554,4034.1323364211885
Dacula Park Activity Building,native,40719947.4029246,10120,4023.710217680296
Dacula Park Activity Building,population,150603954.7371379,36232,4156.655849446288
Dacula Park Activity Building,white,137018952.5119922,32912,4163.191313563205
Gas South-Hudgens Center for Arts,asian,974482.2343160545,252,3866.992993317677
Gas South-Hudgens Center for Arts,black,62460218.83445657,17177,3636.2705265445984
Gas South-Hudgens Center for Arts,hispanic,31796217.420973685,8398,3786.1654466508317
Gas South-Hudgens Center for Arts,native,39929436.57985035,11545,3458.591301849316
Gas South-Hudgens Center for Arts,population,182548386.78570846,52902,3450.6897052230247
Gas South-Hudgens Center for Arts,white,165729363.93164465,48350,3427.7014256803445
George Pierce Park Community Recreation Center,asian,1122197.0130876736,254,4418.098476723124
George Pierce Park Community Recreation Center,black,159933491.09373322,34684,4611.16050898781
George Pierce Park Community Recreation Center,hispanic,39446248.4261129,8138,4847.167415349336
George Pierce Park Community Recreation Center,native,45530592.25301923,10078,4517.820227527211
George Pierce Park Community Recreation Center,population,304564127.5664384,68226,4464.047834644247
George Pierce Park Community Recreation Center,white,278251798.34685487,62640,4442.0785176700965
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,asian,595562.1502486883,195,3054.1648730701963
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,black,14149548.096140843,5991,2361.8007170991227
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,hispanic,11197357.778213697,4506,2484.9884106111176
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,native,18357513.253283896,6382,2876.4514655725316
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,population,47584631.69482181,18253,2606.9485396823434
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,white,42922487.52405128,16414,2614.9925383240698
Gwinnett County Fairgrounds,asian,1024388.422915757,267,3836.6607599841086
Gwinnett County Fairgrounds,black,83799844.1565834,20770,4034.6578794695906
Gwinnett County Fairgrounds,hispanic,20593064.334342845,5846,3522.590546415129
Gwinnett County Fairgrounds,native,56451066.85348932,14554,3878.7320910738845
Gwinnett County Fairgrounds,population,185240156.06761435,48069,3853.630324483853
Gwinnett County Fairgrounds,white,171174609.95528668,44349,3859.7174672548804
Gwinnett County fire station - Potential 18,asian,324861.95188945276,85,3821.9053163465032
Gwinnett County fire station - Potential 18,black,65356566.574192256,18398,3552.373441362771
Gwinnett County fire station - Potential 18,hispanic,10419726.67897805,2832,3679.282019413153
Gwinnett County fire station - Potential 18,native,18100297.594266206,5052,3582.79841533377
Gwinnett County fire station - Potential 18,population,103812599.443871,29173,3558.516417367806
Gwinnett County fire station - Potential 18,white,96135143.08330664,27031,3556.4774918910375
Gwinnett County fire station - Potential 30,asian,625015.9088109718,128,4882.936787585717
Gwinnett County fire station - Potential 30,black,62326088.04215055,14230,4379.907803383735
Gwinnett County fire station - Potential 30,hispanic,19939521.071103305,4175,4775.933190683426
Gwinnett County fire station - Potential 30,native,60229157.427873485,13804,4363.167011581678
Gwinnett County fire station - Potential 30,population,151120925.1518009,34184,4420.808716118679
Gwinnett County fire station - Potential 30,white,137821688.36313844,31318,4400.718065110749
Lenora Park Gym,asian,1169235.8575970966,237,4933.484631211378
Lenora Park Gym,black,69184644.36882907,13376,5172.2969773347095
Lenora Park Gym,hispanic,29629318.386954937,5743,5159.205709029242
Lenora Park Gym,native,142066003.87040177,30408,4671.994339331813
Lenora Park Gym,population,256373604.30776042,52645,4869.856668397007
Lenora Park Gym,white,237380667.0098304,48861,4858.285074186578
Lucky Shoals Park Community Recreation Center,asian,3945684.942361966,1185,3329.6919344826715
Lucky Shoals Park Community Recreation Center,black,33679508.89755204,10555,3190.8582565184315
Lucky Shoals Park Community Recreation Center,hispanic,97810576.41707957,29203,3349.333164985774
Lucky Shoals Park Community Recreation Center,native,41252061.48428087,13094,3150.4552836628127
Lucky Shoals Park Community Recreation Center,population,195979454.23383772,60621,3232.864093859186
Lucky Shoals Park Community Recreation Center,white,170149582.7155369,52772,3224.2397998093097
Mountain Park Activity Building,asian,1005481.2323094747,245,4104.0050298345905
Mountain Park Activity Building,black,63340394.06058034,18057,3507.802739136088
Mountain Park Activity Building,hispanic,17810087.390215907,4329,4114.134301274175
Mountain Park Activity Building,native,45563170.53703545,10057,4530.493242222875
Mountain Park Activity Building,population,148851874.28494227,38912,3825.346275826025
Mountain Park Activity Building,white,138025048.2172129,36134,3819.810932008991
Pinckneyville Park Community Recreation Center,asian,2007717.9416036576,457,4393.255889723539
Pinckneyville Park Community Recreation Center,black,104942046.79091527,24557,4273.406637248657
Pinckneyville Park Community Recreation Center,hispanic,59565244.81237271,13639,4367.273613342086
Pinckneyville Park Community Recreation Center,native,57913205.4749413,11931,4854.011019607853
Pinckneyville Park Community Recreation Center,population,249788321.07265282,57933,4311.675919987793
Pinckneyville Park Community Recreation Center,white,224154033.63570446,52101,4302.2981062878725
Rhodes Jordan Park Community Recreation Center,asian,1866203.1907929354,493,3785.4020097219786
Rhodes Jordan Park Community Recreation Center,black,78346146.9682591,17670,4433.850988582858
Rhodes Jordan Park Community Recreation Center,hispanic,41296145.514126286,10650,3877.5723487442524
Rhodes Jordan Park Community Recreation Center,native,57025683.39805506,15414,3699.603178802067
Rhodes Jordan Park Community Recreation Center,population,199998547.5599751,48390,4133.05533291951
Rhodes Jordan Park Community Recreation Center,white,178424373.93001553,43069,4142.756366064119
Shorty Howell Park Activity Building,asian,938071.6377126159,341,2750.9432190985804
Shorty Howell Park Activity Building,black,34658422.411599785,12044,2877.650482530703
Shorty Howell Park Activity Building,hispanic,31560934.57883807,11065,2852.321245263269
Shorty Howell Park Activity Building,native,33109317.511058558,11241,2945.4067708441025
Shorty Howell Park Activity Building,population,121808635.10040177,43205,2819.3180210716764
Shorty Howell Park Activity Building,white,108598645.34879951,38669,2808.416182182097
