id_dest,demographic,weighted_dist,demo_pop,avg_dist
131350506182,asian,566144.0198504507,156,3629.128332374684
131350506182,black,100521892.0607881,26209,3835.3959350142354
131350506182,hispanic,20350037.59198554,5076,4009.069659571619
131350506182,native,29724437.618082672,7768,3826.523895221765
131350506182,population,167658071.53749457,43695,3837.008159686339
131350506182,white,153802224.33615237,40162,3829.545947317175
131350507444,asian,630604.2289309432,141,4472.370417949952
131350507444,black,62745587.28842166,15179,4133.710210713595
131350507444,hispanic,20557436.960161265,4561,4507.221433931433
131350507444,native,74624541.8455067,17061,4373.9840481511455
131350507444,population,167799715.0729598,39179,4282.899386736767
131350507444,white,153535021.3992172,35943,4271.625111961082
Bogan Park Community Recreation Center,asian,1031863.2696333006,245,4211.686814829798
Bogan Park Community Recreation Center,black,74341405.46330431,19054,3901.6167452138297
Bogan Park Community Recreation Center,hispanic,27560172.530580968,6668,4133.199239739198
Bogan Park Community Recreation Center,native,22621065.476492308,5794,3904.2225537611853
Bogan Park Community Recreation Center,population,139615772.94610456,35845,3894.9859937537885
Bogan Park Community Recreation Center,white,125304983.20295916,32377,3870.185106802952
Dacula Park Activity Building,asian,553918.639754771,148,3742.693511856561
Dacula Park Activity Building,black,59921719.88166391,14317,4185.354465437166
Dacula Park Activity Building,hispanic,17097392.5136893,4505,3795.203665635804
Dacula Park Activity Building,native,35869647.447709866,9026,3974.035835110776
Dacula Park Activity Building,population,122498148.01596391,30150,4062.956816449881
Dacula Park Activity Building,white,112304663.63104412,27499,4083.95445765461
Gas South-Hudgens Center for Arts,asian,2391931.8005156093,488,4901.499591220511
Gas South-Hudgens Center for Arts,black,84209987.75493564,20748,4058.703863260827
Gas South-Hudgens Center for Arts,hispanic,73732159.60219702,15438,4776.017593094767
Gas South-Hudgens Center for Arts,native,61128800.116827466,15141,4037.302695781485
Gas South-Hudgens Center for Arts,population,284196605.075212,69801,4071.5262686095043
Gas South-Hudgens Center for Arts,white,252799750.86328438,62802,4025.3455441432498
George Pierce Park Community Recreation Center,asian,1098827.6472556829,251,4377.799391456904
George Pierce Park Community Recreation Center,black,159886752.36206925,34678,4610.610541613393
George Pierce Park Community Recreation Center,hispanic,39399509.69444892,8132,4844.996273296719
