id_dest,demographic,weighted_dist,demo_pop,avg_dist
Bogan Park Community Recreation Center,asian,30045214.141451422,6476,4639.47099157681
Bogan Park Community Recreation Center,black,50929740.84156375,9742,5227.8526833877795
Bogan Park Community Recreation Center,hispanic,45361819.45011665,9133,4966.803837744076
Bogan Park Community Recreation Center,native,1481056.186307172,314,4716.739446838127
Bogan Park Community Recreation Center,population,300085874.026517,57314,5235.821510041473
Bogan Park Community Recreation Center,white,171298049.7853948,31582,5423.913931524121
Dacula Park Activity Building,asian,23312066.797457505,4175,5583.728574241319
Dacula Park Activity Building,black,85441442.29522619,15992,5342.7615242137435
Dacula Park Activity Building,hispanic,43983923.582231216,8437,5213.218393058103
Dacula Park Activity Building,native,1417255.4054552761,282,5025.728388139277
Dacula Park Activity Building,population,337475664.4288901,61159,5518.0049449613325
Dacula Park Activity Building,white,179532856.00550228,31681,5666.893595704122
George Pierce Park Community Recreation Center,asian,95450877.4808456,20523,4650.922257021176
George Pierce Park Community Recreation Center,black,69561774.73174052,13731,5066.038506426373
George Pierce Park Community Recreation Center,hispanic,59117129.602824934,11138,5307.697037423679
George Pierce Park Community Recreation Center,native,1637805.9792392289,332,4933.150539877195
George Pierce Park Community Recreation Center,population,456046446.2298251,91493,4984.495493970305
George Pierce Park Community Recreation Center,white,225146581.2745498,44643,5043.267282094613
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,asian,36763092.82813642,6769,5431.096591540319
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,black,110184714.56010358,24454,4505.795148446208
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,hispanic,81149003.33201522,17822,4553.305091011964
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,native,3710713.7368536945,803,4621.063184126643
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,population,342337074.1251109,72890,4696.626068392247
Gwinnett County Board of Voter Registrations and Elections Beauty P. Baldwin Building,white,114377483.65984042,23938,4778.071838075045
Gwinnett County Fairgrounds,asian,54207626.42441045,10770,5033.205796138389
Gwinnett County Fairgrounds,black,166011738.70483708,28575,5809.684644088787
Gwinnett County Fairgrounds,hispanic,74276414.18994254,13144,5650.9749079384155
Gwinnett County Fairgrounds,native,2940879.194909376,529,5559.317948788991
Gwinnett County Fairgrounds,population,506929648.47037125,90693,5589.512404158769
Gwinnett County Fairgrounds,white,206065457.7528588,36984,5571.746099742018
Lenora Park Gym,asian,11264711.756140357,2101,5361.595314678894
Lenora Park Gym,black,150890615.42502946,31410,4803.903706623033
Lenora Park Gym,hispanic,32610436.8352436,6075,5367.973141603885
Lenora Park Gym,native,1315418.1413723337,253,5199.281191194995
Lenora Park Gym,population,279195964.1467477,55204,5057.531413425616
Lenora Park Gym,white,77629392.34335971,14303,5427.4902008921
Lucky Shoals Park Community Recreation Center,asian,39537652.23505117,10874,3635.980525570275
Lucky Shoals Park Community Recreation Center,black,86344257.26210639,18488,4670.286524345867
Lucky Shoals Park Community Recreation Center,hispanic,146717082.0494251,36125,4061.3725134788956
Lucky Shoals Park Community Recreation Center,native,5914783.547029106,1463,4042.914249507249
Lucky Shoals Park Community Recreation Center,population,340521985.0678682,79293,4294.477256099128
Lucky Shoals Park Community Recreation Center,white,74575865.95053376,15594,4782.343590517748
Mountain Park Activity Building,asian,41029572.55255433,8932,4593.548203375989
Mountain Park Activity Building,black,71258188.94819443,13771,5174.510852385043
Mountain Park Activity Building,hispanic,43493100.75792741,8091,5375.4913802901265
Mountain Park Activity Building,native,2067569.2156182493,401,5156.032956653989
Mountain Park Activity Building,population,272312109.2227581,57356,4747.752793478592
Mountain Park Activity Building,white,112928185.32663737,25648,4403.001611300584
Shorty Howell Park Activity Building,asian,139272072.30933446,29031,4797.357042793375
Shorty Howell Park Activity Building,black,161899437.8913238,32662,4956.813357765103
Shorty Howell Park Activity Building,hispanic,182960641.77795842,36694,4986.118759959623
Shorty Howell Park Activity Building,native,5297350.748482777,1087,4873.367753893999
Shorty Howell Park Activity Building,population,728688227.4192183,144082,5057.45497299606
Shorty Howell Park Activity Building,white,242804458.8779839,45414,5346.467144008101
