id_dest,demographic,weighted_dist,demo_pop,avg_dist
131350501212,asian,7972005.402907734,3112,2561.698394250557
131350501212,black,7158390.916143909,3023,2367.975824063483
131350501212,hispanic,9776163.414172905,4072,2400.825985798847
131350501212,native,362474.6879897561,153,2369.115607776184
131350501212,population,64278926.74331156,25586,2512.2694732788073
131350501212,white,38763440.45281038,15147,2559.14969649504
131350502342,asian,10537506.490666466,4987,2112.995085355217
131350502342,black,5791199.909474605,2860,2024.8950732428689
131350502342,hispanic,4805859.125924514,2435,1973.6587786137634
131350502342,native,100494.460783792,57,1763.060715505123
131350502342,population,35989204.14027813,18280,1968.774843560073
131350502342,white,14321160.204451848,7693,1861.5832840831727
131350502402,asian,12712472.064494917,5675,2240.0831831709106
131350502402,black,10750180.82721785,4353,2469.602762972169
131350502402,hispanic,9765655.849675603,3806,2565.858079263164
131350502402,native,267519.31381857913,102,2622.7383707703834
131350502402,population,60351413.98092723,24610,2452.3126363643732
131350502402,white,26494600.751478545,10499,2523.535646392851
131350502433,asian,12285622.789395152,5149,2386.0211282569726
131350502433,black,6486685.100632881,2727,2378.689072472637
131350502433,hispanic,3653294.2392976596,1570,2326.9390059220764
131350502433,native,141409.62888152053,65,2175.5327520233927
131350502433,population,47418919.92484217,21148,2242.241343145554
131350502433,white,23583036.119584315,11091,2126.3218933896237
131350503352,asian,3752310.299691054,1853,2024.992066751783
131350503352,black,11718545.868584204,6262,1871.3743003168643
131350503352,hispanic,9245918.788591482,4465,2070.7544879264237
131350503352,native,335275.57915504364,146,2296.4080764044083
131350503352,population,52299365.080856964,25755,2030.6490033336038
131350503352,white,26962399.568693824,12813,2104.3002863259053
131350504272,asian,9126914.576987777,4178,2184.517610576299
131350504272,black,8484861.7222404,3927,2160.647242740107
131350504272,hispanic,7009942.762735725,3043,2303.6289065842016
131350504272,native,436851.60004096833,178,2454.2224721402717
131350504272,population,48360211.04752736,22317,2166.967381257667
131350504272,white,22913729.787354603,10751,2131.3114861273
131350504352,asian,9315105.553420763,4568,2039.20874637057
131350504352,black,11896925.891883332,6191,1921.6485045846118
131350504352,hispanic,24600127.811169516,13662,1800.624199324368
131350504352,native,931802.933548662,509,1830.6540934158388
131350504352,population,57082314.08006284,29872,1910.8969630444174
131350504352,white,12560409.167311091,6229,2016.440707547133
131350505532,asian,14155741.977404218,6521,2170.7931264229746
131350505532,black,18268491.892585177,7851,2326.8999990555567
131350505532,hispanic,15883570.22119585,7105,2235.5482366215133
131350505532,native,558683.4688147667,249,2243.708710099465
131350505532,population,78888267.43537968,35694,2210.126840235885
131350505532,white,30114603.017985117,14060,2141.863657040193
131350505682,asian,9542052.231681043,4654,2050.290552574354
131350505682,black,15584776.914635489,8282,1881.7649015498055
131350505682,hispanic,17324859.693637263,8480,2043.025907268545
131350505682,native,823078.0914750898,374,2200.743560093823
131350505682,population,62076786.24183991,30435,2039.651264722849
131350505682,white,20052202.77977311,9199,2179.824196083608
131350505761,asian,12696891.010160768,6408,1981.4124547691586
131350505761,black,27241580.092371855,12839,2121.7836352030417
131350505761,hispanic,31994244.90339886,16263,1967.302767226149
131350505761,native,901831.7389171222,465,1939.423094445424
131350505761,population,86376998.23523849,42664,2024.5874328529555
131350505761,white,15624121.821443759,7818,1998.4806627582193
131350505791,asian,8705278.053563697,3591,2424.193275846198
131350505791,black,14146140.562104477,5430,2605.182423960309
131350505791,hispanic,10922206.17716787,4378,2494.7935534874077
131350505791,native,369944.3549350868,150,2466.2956995672453
131350505791,population,69790457.10213779,27944,2497.5113477718933
131350505791,white,35471596.87799322,14294,2481.5724694272576
131350505863,asian,3688850.7003175053,1564,2358.600192018865
131350505863,black,28380292.682702575,12100,2345.478734107651
131350505863,hispanic,11197414.94177764,4827,2319.746207121947
131350505863,native,349804.2831495411,154,2271.4563840879296
131350505863,population,61551716.03913991,25872,2379.086117777517
131350505863,white,17388351.554367065,7040,2469.936300336231
131350506162,asian,3596544.2557771723,1330,2704.1686133662947
131350506162,black,8324696.581587946,2913,2857.7743156841557
131350506162,hispanic,4486265.982450855,1605,2795.1812974771683
131350506162,native,106175.23391249834,33,3217.431330681768
131350506162,population,45582992.34551187,16076,2835.4685460009873
131350506162,white,28521833.719750054,9966,2861.9138791641635
131350506261,asian,768067.7065058107,259,2965.5123803313154
131350506261,black,5378930.000496924,2027,2653.6408487897997
131350506261,hispanic,2531131.0641114586,915,2766.26345804531
131350506261,native,96948.16213545947,33,2937.823095013923
131350506261,population,22853210.5586674,8113,2816.86312814833
131350506261,white,13802803.415346507,4790,2881.5873518468698
131350507444,asian,2197444.9243168295,762,2883.785989917099
131350507444,black,22068479.60563308,7445,2964.201424530971
131350507444,hispanic,4727050.546770283,1647,2870.097478306183
131350507444,native,139172.5185032386,54,2577.268861171085
131350507444,population,50239306.26175707,17812,2820.5314541745493
131350507444,white,20282526.28067846,7617,2662.79720108684
131350507491,asian,4896210.627445036,1980,2472.8336502247653
131350507491,black,37162894.09412563,15388,2415.056803621369
131350507491,hispanic,9551181.164102662,3854,2478.2514696685685
131350507491,native,451386.8479939743,170,2655.216752905731
131350507491,population,73075675.92069829,29732,2457.812320755357
131350507491,white,20159376.871656213,7992,2522.444553510537
131350507521,asian,2585245.2125284583,981,2635.31622072218
131350507521,black,33689705.7290268,12833,2625.240063042687
131350507521,hispanic,8088508.966334027,3149,2568.5960515509773
131350507521,native,303814.0905348735,120,2531.7840877906124
131350507521,population,68576791.55049126,26275,2609.9635223783544
131350507521,white,22664611.47839151,8750,2590.2413118161726
131350507624,asian,5880178.057206555,2886,2037.4837343058057
131350507624,black,11955862.184098694,4970,2405.6060732592946
131350507624,hispanic,4919335.403175943,2051,2398.5058035962666
131350507624,native,338051.8730151561,134,2522.7751717548963
131350507624,population,44521282.62651008,20178,2206.426931633962
131350507624,white,20627091.722838137,9764,2112.5657233549914
Atlantic Communication Services Inc,asian,7743739.345380283,3365,2301.259835179876
Atlantic Communication Services Inc,black,14966778.91919899,6322,2367.4120403668126
Atlantic Communication Services Inc,hispanic,31201615.468592156,13877,2248.440979216845
Atlantic Communication Services Inc,native,1182509.8967373415,533,2218.5926768055187
Atlantic Communication Services Inc,population,65212443.21433926,28452,2292.016139966936
Atlantic Communication Services Inc,white,12805956.311009767,5591,2290.45900751382
Bogan Park Community Recreation Center,asian,8450355.157454204,3142,2689.482863607321
Bogan Park Community Recreation Center,black,10377970.464890825,3750,2767.458790637553
Bogan Park Community Recreation Center,hispanic,9469826.40443801,3486,2716.530810223181
Bogan Park Community Recreation Center,native,362447.84646038164,131,2766.777453896043
Bogan Park Community Recreation Center,population,59211917.005644076,22505,2631.056076678253
Bogan Park Community Recreation Center,white,30530531.75757876,11997,2544.847191596129
Dacula Park Activity Building,asian,2014700.315688462,769,2619.8963793087933
Dacula Park Activity Building,black,10925927.847500734,4133,2643.5828326882975
Dacula Park Activity Building,hispanic,4994674.040376186,2139,2335.0509772679693
Dacula Park Activity Building,native,177500.757954646,76,2335.536288876921
Dacula Park Activity Building,population,33867856.63450843,13767,2460.0752985042805
Dacula Park Activity Building,white,15327300.163757531,6515,2352.617062740987
Gas South-Hudgens Center for Arts,asian,14905910.047051294,7563,1970.8991203294056
Gas South-Hudgens Center for Arts,black,8315691.372790143,4171,1993.6924892807822
Gas South-Hudgens Center for Arts,hispanic,5838747.8852460375,2564,2277.202763356489
Gas South-Hudgens Center for Arts,native,185915.9807563607,81,2295.259021683465
Gas South-Hudgens Center for Arts,population,43377396.87080698,20681,2097.451616015037
Gas South-Hudgens Center for Arts,white,13737537.751350872,6096,2253.5330956940406
Gwinnett County Fairgrounds,asian,7165931.761286622,3476,2061.5453858707197
Gwinnett County Fairgrounds,black,16545676.90968119,7799,2121.512618243517
Gwinnett County Fairgrounds,hispanic,8052583.098097633,3975,2025.8070687038069
Gwinnett County Fairgrounds,native,310950.1239600189,145,2144.483613517372
Gwinnett County Fairgrounds,population,58517324.05308518,26449,2212.458847332042
Gwinnett County Fairgrounds,white,25921407.966236014,10896,2378.9838441846564
Gwinnett County fire station - Potential 27,asian,5119114.442634646,2228,2297.627667250739
Gwinnett County fire station - Potential 27,black,10373924.133780984,4404,2355.5686044007684
Gwinnett County fire station - Potential 27,hispanic,6628296.688280497,2871,2308.706613821141
Gwinnett County fire station - Potential 27,native,235672.52729920976,104,2266.0819932616323
Gwinnett County fire station - Potential 27,population,54201351.31507532,24253,2234.830796811748
Gwinnett County fire station - Potential 27,white,31439442.765070144,14451,2175.589423920154
Lenora Park Gym,asian,1073348.668681375,430,2496.159694607849
