"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"P3_001N"," !!Total:"
"P3_001NA","Annotation of  !!Total:"
"P3_002N"," !!Total:!!Population of one race:"
"P3_002NA","Annotation of  !!Total:!!Population of one race:"
"P3_003N"," !!Total:!!Population of one race:!!White alone"
"P3_003NA","Annotation of  !!Total:!!Population of one race:!!White alone"
"P3_004N"," !!Total:!!Population of one race:!!Black or African American alone"
"P3_004NA","Annotation of  !!Total:!!Population of one race:!!Black or African American alone"
"P3_005N"," !!Total:!!Population of one race:!!American Indian and Alaska Native alone"
"P3_005NA","Annotation of  !!Total:!!Population of one race:!!American Indian and Alaska Native alone"
"P3_006N"," !!Total:!!Population of one race:!!Asian alone"
"P3_006NA","Annotation of  !!Total:!!Population of one race:!!Asian alone"
"P3_007N"," !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"
"P3_007NA","Annotation of  !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"
"P3_008N"," !!Total:!!Population of one race:!!Some Other Race alone"
"P3_008NA","Annotation of  !!Total:!!Population of one race:!!Some Other Race alone"
"P3_009N"," !!Total:!!Population of two or more races:"
"P3_009NA","Annotation of  !!Total:!!Population of two or more races:"
"P3_010N"," !!Total:!!Population of two or more races:!!Population of two races:"
"P3_010NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:"
"P3_011N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American"
"P3_011NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American"
"P3_012N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"
"P3_012NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"
"P3_013N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian"
"P3_013NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian"
"P3_014N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"
"P3_014NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"
"P3_015N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"
"P3_015NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"
"P3_016N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"
"P3_016NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"
"P3_017N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"
"P3_017NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"
"P3_018N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"
"P3_018NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"
"P3_019N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"
"P3_019NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"
"P3_020N"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"
"P3_020NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"
"P3_021N"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P3_021NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P3_022N"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"
"P3_022NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"
"P3_023N"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"
"P3_023NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"
"P3_024N"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race"
