id_dest,dest_lat,dest_lon,demographic,weighted_dist,demo_pop,avg_dist
131350501212,34.1193852,-84.0577616,population,73729394.7716676,27818,2650.42040303644
131350502331,34.0155846,-84.1114766,population,63684066.5159512,26328,2418.87217091884
131350503181,33.9528168,-84.2456762,population,67626362.5117748,30784,2196.80231652075
131350504383,33.9137873,-84.1760276,population,83696305.9920782,37944,2205.78499873704
131350505281,34.0240367,-84.0010408,population,82082851.1382751,32833,2500.01069467533
131350505531,33.9893443,-84.0485789,population,87145251.5748649,37793,2305.85694638861
131350505593,33.9311187,-84.0550447,population,79388304.0538189,36337,2184.77871188648
131350505771,33.9317245,-84.111969,population,105884753.531474,47326,2237.34846662456
131350505863,33.9445541,-83.9341013,population,67014778.3577585,26902,2491.07049132996
131350506132,34.0427644,-83.9311623,population,74289869.8995748,29883,2486.02449217196
131350506162,34.0932992,-83.8739185,population,50649952.8028121,17350,2919.30563704969
131350506252,33.9136192,-83.8657073,population,54477452.236975,15110,3605.39061793349
131350507151,33.8728138,-84.0586116,population,78673531.4546644,30068,2616.52026921193
131350507491,33.8219273,-84.0573142,population,76496346.2557635,30312,2523.63243124055
131350507522,33.856398,-83.9590106,population,114613242.874146,36718,3121.44569078233
Bogan Park Community Recreation Center,34.10593,-83.9682,population,70124109.1706703,24873,2819.28634144133
Dacula Park Activity Building,33.9961,-83.89283,population,44425426.4685714,16187,2744.51266254225
George Pierce Park Community Recreation Center,34.05925,-84.05714,population,81908091.8614654,29109,2813.84080049007
Gwinnett County Fairgrounds,33.91845,-83.988,population,67489586.1017553,28806,2342.90030208135
Lenora Park Gym,33.78823,-84.00129,population,51709619.3592836,18458,2801.47466460524
Lucky Shoals Park Community Recreation Center,33.88058,-84.19716,population,64517557.5545122,30604,2108.14133951484
Mountain Park Activity Building,33.84508,-84.13328,population,64529977.6783475,24060,2682.04396003107
Pinckneyville Park Community Recreation Center,33.97062,-84.18529,population,60319025.3460963,23417,2575.86477115328
Rhodes Jordan Park Community Recreation Center,33.95615,-83.98751,population,46734083.460383,20686,2259.21316157706
Shorty Howell Park Activity Building,33.97391,-84.14712,population,64633284.3701548,29778,2170.50454597874
