,id_orig,id_dest,distance_m,city,dest_type,H7X001,H7X002,H7X003,H7X004,H7X005,H7Z010,JOIE001,poverty_0_50,poverty_50_99
35363153,410470016041002,school_535,14124.8,Test,school,55,25,0,2,2,8,31656,3.7987987987988,13.6674174174174
35363211,410470016041002,school_593,10180.1,Test,school,55,25,0,2,2,8,31656,3.7987987987988,13.6674174174174
35363242,410470016041002,poll_2016_4,14977,Test,polling,55,25,0,2,2,8,31656,3.7987987987988,13.6674174174174
35363248,410470016041002,poll_2016_7,5303.4,Test,polling,55,25,0,2,2,8,31656,3.7987987987988,13.6674174174174
35363250,410470016041002,poll_2016_8,6041.1,Test,polling,55,25,0,2,2,8,31656,3.7987987987988,13.6674174174174
58748962,410470016041008,school_535,14214.8,Test,school,7,6,1,0,0,0,31656,0.483483483483483,1.73948948948949
58749020,410470016041008,school_593,10270.1,Test,school,7,6,1,0,0,0,31656,0.483483483483483,1.73948948948949
58749051,410470016041008,poll_2016_4,15066.9,Test,polling,7,6,1,0,0,0,31656,0.483483483483483,1.73948948948949
58749057,410470016041008,poll_2016_7,5283.4,Test,polling,7,6,1,0,0,0,31656,0.483483483483483,1.73948948948949
58749059,410470016041008,poll_2016_8,6021.1,Test,polling,7,6,1,0,0,0,31656,0.483483483483483,1.73948948948949
70644988,410470016041005,school_535,13684.6,Test,school,2,2,0,0,0,0,31656,0.138138138138138,0.496996996996997
70645046,410470016041005,school_593,7694.6,Test,school,2,2,0,0,0,0,31656,0.138138138138138,0.496996996996997
70645077,410470016041005,poll_2016_4,14536.7,Test,polling,2,2,0,0,0,0,31656,0.138138138138138,0.496996996996997
70645083,410470016041005,poll_2016_7,6214.1,Test,polling,2,2,0,0,0,0,31656,0.138138138138138,0.496996996996997
70645085,410470016041005,poll_2016_8,6951.8,Test,polling,2,2,0,0,0,0,31656,0.138138138138138,0.496996996996997
70645238,410470016041015,school_535,13356,Test,school,41,33,1,0,0,14,31656,2.83183183183183,10.1884384384384
70645296,410470016041015,school_593,7366,Test,school,41,33,1,0,0,14,31656,2.83183183183183,10.1884384384384
