,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races
305416,131350501163008,Georgia Gwinnett College,16540.111511626008,Gwinnett_GA,1000 University Center Ln,33.98136,-84.00013,34.1129144,-84.0839161,College Campus-Potential,potential,13,2,11,4,0,0,0,4,0,0
305443,131350501163008,Dacula Park Activity Building,21877.325761275653,Gwinnett_GA,2735 Old Auburn Avenue,33.9961,-83.89283,34.1129144,-84.0839161,EV_2022_2020,polling,13,2,11,4,0,0,0,4,0,0
305444,131350501163008,George Pierce Park Community Recreation Center,6456.631210378167,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.1129144,-84.0839161,EV_2022_2020,polling,13,2,11,4,0,0,0,4,0,0
305448,131350501163008,Mountain Park Activity Building,30127.691633356026,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,34.1129144,-84.0839161,EV_2022_2020,polling,13,2,11,4,0,0,0,4,0,0
305464,131350501163008,Gwinnett County Public Library - Suwanee Branch,5315.130320445581,Gwinnett_GA,"361 Main St, Suwanee, GA 30024",34.066465899877706,-84.07028790258764,34.1129144,-84.0839161,Library - Potential,potential,13,2,11,4,0,0,0,4,0,0
306033,131350501163009,Georgia Gwinnett College,16853.235443742244,Gwinnett_GA,1000 University Center Ln,33.98136,-84.00013,34.1182628,-84.0786215,College Campus-Potential,potential,12,0,12,8,7,0,1,0,0,0
306060,131350501163009,Dacula Park Activity Building,21851.01707424276,Gwinnett_GA,2735 Old Auburn Avenue,33.9961,-83.89283,34.1182628,-84.0786215,EV_2022_2020,polling,12,0,12,8,7,0,1,0,0,0
306061,131350501163009,George Pierce Park Community Recreation Center,6853.629199083944,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.1182628,-84.0786215,EV_2022_2020,polling,12,0,12,8,7,0,1,0,0,0
306065,131350501163009,Mountain Park Activity Building,30791.817701730517,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,34.1182628,-84.0786215,EV_2022_2020,polling,12,0,12,8,7,0,1,0,0,0
306081,131350501163009,Gwinnett County Public Library - Suwanee Branch,5810.458890173248,Gwinnett_GA,"361 Main St, Suwanee, GA 30024",34.066465899877706,-84.07028790258764,34.1182628,-84.0786215,Library - Potential,potential,12,0,12,8,7,0,1,0,0,0
2978877,131350506111000,Georgia Gwinnett College,7984.195483615391,Gwinnett_GA,1000 University Center Ln,33.98136,-84.00013,34.0496983,-83.973544,College Campus-Potential,potential,78,17,61,66,38,8,2,11,0,7
2978904,131350506111000,Dacula Park Activity Building,9531.676557656763,Gwinnett_GA,2735 Old Auburn Avenue,33.9961,-83.89283,34.0496983,-83.973544,EV_2022_2020,polling,78,17,61,66,38,8,2,11,0,7
2978905,131350506111000,George Pierce Park Community Recreation Center,7774.236115973282,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0496983,-83.973544,EV_2022_2020,polling,78,17,61,66,38,8,2,11,0,7
2978909,131350506111000,Mountain Park Activity Building,27106.812071100005,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,34.0496983,-83.973544,EV_2022_2020,polling,78,17,61,66,38,8,2,11,0,7
2978925,131350506111000,Gwinnett County Public Library - Suwanee Branch,9105.163389163728,Gwinnett_GA,"361 Main St, Suwanee, GA 30024",34.066465899877706,-84.07028790258764,34.0496983,-83.973544,Library - Potential,potential,78,17,61,66,38,8,2,11,0,7
2979494,131350506111001,Georgia Gwinnett College,7861.875766226092,Gwinnett_GA,1000 University Center Ln,33.98136,-84.00013,34.0477347,-83.9707423,College Campus-Potential,potential,37,10,27,33,27,0,0,0,0,6
2979521,131350506111001,Dacula Park Activity Building,9193.717533554249,Gwinnett_GA,2735 Old Auburn Avenue,33.9961,-83.89283,34.0477347,-83.9707423,EV_2022_2020,polling,37,10,27,33,27,0,0,0,0,6
2979522,131350506111001,George Pierce Park Community Recreation Center,8061.878147324718,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0477347,-83.9707423,EV_2022_2020,polling,37,10,27,33,27,0,0,0,0,6
