,index,id_orig,id_dest,distance_m,H7X001,H7X002,H7X003,H7X004,H7X005,H7Z010,pop_distance
0,0,410470002001015,poll_2016_1,1797.4,33,32,0,1,0,1,59314.200000000004
1,1,410470002001019,poll_2016_1,1944.4,21,19,0,0,0,0,40832.4
2,2,410470002001037,poll_2016_1,2446.2,1,1,0,0,0,0,2446.2
3,3,410470002003009,poll_2016_1,1507.1,42,41,0,0,0,4,63298.2
4,4,410470002003052,poll_2016_1,1141.7,271,236,1,0,13,13,309400.7
5,5,410470003001004,poll_2016_1,3250.7,55,47,0,0,0,10,178788.5
6,6,410470003001006,poll_2016_1,3155.4,34,33,0,1,0,11,107283.6
7,7,410470003001007,poll_2016_1,3156.2,21,16,0,0,1,9,66280.2
8,8,410470003001016,poll_2016_1,2951.7,31,30,0,0,0,8,91502.7
9,9,410470003001027,poll_2016_1,2842.3,32,20,0,0,0,13,90953.6
10,10,410470003002000,poll_2016_1,2416.1,233,159,6,5,5,55,562951.2999999999
11,11,410470003002010,poll_2016_1,2347.8,33,16,1,0,1,14,77477.40000000001
12,12,410470003002015,poll_2016_1,1921.7,35,22,4,0,0,5,67259.5
13,13,410470003003031,poll_2016_1,2856.1,38,31,3,2,0,6,108531.8
14,14,410470003003034,poll_2016_1,2848.6,28,15,0,0,0,14,79760.8
15,15,410470003004011,poll_2016_1,2985.9,39,30,0,0,0,7,116450.1
16,16,410470003004015,poll_2016_1,2914.1,96,90,0,0,0,7,279753.6
17,17,410470003004017,poll_2016_1,3098.7,31,24,0,0,0,13,96059.7
18,18,410470003004028,poll_2016_1,2416.8,17,11,0,0,0,5,41085.600000000006
19,19,410470003004031,poll_2016_1,2016.9,17,16,0,0,0,1,34287.3
20,20,410470004001004,poll_2016_1,5080.7,33,30,0,0,0,2,167663.1
21,21,410470004001012,poll_2016_1,4700.0,37,34,0,0,0,3,173900.0
22,22,410470004001020,poll_2016_1,5062.7,202,93,4,15,0,151,1022665.3999999999
23,23,410470004001043,poll_2016_1,3660.7,23,21,0,0,0,2,84196.09999999999
24,24,410470004001048,poll_2016_1,3813.3,13,11,0,0,0,6,49572.9
25,25,410470004001052,poll_2016_1,3381.3,2,2,0,0,0,0,6762.6
26,26,410470004001055,poll_2016_1,4987.6,22,21,0,0,0,0,109727.20000000001
27,27,410470004002000,410470016022,4596.1,17,14,1,0,0,4,78133.70000000001
28,28,410470004002007,poll_2016_1,6107.8,7,7,0,0,0,0,42754.6
29,29,410470004002035,poll_2016_1,3430.3,38,31,0,0,0,14,130351.40000000001
30,30,410470004003019,poll_2016_1,4103.6,50,36,0,0,1,22,205180.00000000003
31,31,410470004003021,poll_2016_1,4103.5,14,4,0,0,0,10,57449.0
32,32,410470004003022,poll_2016_1,4132.5,2,2,0,0,0,0,8265.0
33,33,410470004003028,poll_2016_1,3362.7,49,36,0,0,2,20,164772.3
34,34,410470004003029,poll_2016_1,3273.5,8,5,0,0,0,3,26188.0
35,35,410470005012005,410470016042,3819.5,122,83,0,0,0,66,465979.0
36,36,410470005012007,410470016042,3596.0,146,70,2,3,5,101,525016.0
37,37,410470005023008,410470016042,3508.2,62,44,0,4,0,31,217508.4
38,38,410470005023009,410470016022,2536.0,51,32,0,0,0,33,129336.0
39,39,410470005023012,410470016022,2050.4,174,55,0,1,0,151,356769.60000000003
40,40,410470005023019,410470016022,3258.6,81,58,3,1,0,17,263946.6
41,41,410470006001001,poll_2016_1,3667.2,74,56,0,3,0,15,271372.8
42,42,410470006001002,410470016042,3404.2,59,33,0,1,5,17,200847.8
43,43,410470006001004,poll_2016_1,3466.8,57,52,0,0,0,23,197607.6
44,44,410470006001010,poll_2016_1,3426.3,42,41,0,0,1,0,143904.6
45,45,410470006001011,poll_2016_1,3571.4,44,33,0,0,0,2,157141.6
