,id_dest,H7X001
0,poll_2016_1,33
1,poll_2016_1,21
2,poll_2016_1,1
3,poll_2016_1,42
4,poll_2016_1,271
5,poll_2016_1,55
6,poll_2016_1,34
7,poll_2016_1,21
8,poll_2016_1,31
9,poll_2016_1,32
10,poll_2016_1,233
11,poll_2016_1,33
12,poll_2016_1,35
13,poll_2016_1,38
14,poll_2016_1,28
15,poll_2016_1,39
16,poll_2016_1,96
17,poll_2016_1,31
18,poll_2016_1,17
19,poll_2016_1,17
20,poll_2016_1,33
21,poll_2016_1,37
22,poll_2016_1,202
23,poll_2016_1,23
24,poll_2016_1,13
25,poll_2016_1,2
26,poll_2016_1,22
27,410470016022,17
28,poll_2016_1,7
29,poll_2016_1,38
30,poll_2016_1,50
31,poll_2016_1,14
32,poll_2016_1,2
33,poll_2016_1,49
34,poll_2016_1,8
35,410470016042,122
36,410470016042,146
37,410470016042,62
38,410470016022,51
39,410470016022,174
40,410470016022,81
41,poll_2016_1,74
42,410470016042,59
43,poll_2016_1,57
44,poll_2016_1,42
45,poll_2016_1,44
46,poll_2016_1,40
47,poll_2016_1,16
48,poll_2016_1,56
49,poll_2016_1,60
50,poll_2016_1,40
51,poll_2016_1,34
52,poll_2016_1,94
53,poll_2016_1,72
54,poll_2016_1,23
55,poll_2016_1,35
56,410470016042,83
57,410470016042,485
58,poll_2016_3,53
59,410470016042,19
60,410470016042,51
61,410470016042,456
62,410470016042,71
63,410470016042,154
64,410470016042,94
65,410470016042,27
66,poll_2016_1,79
67,poll_2016_1,27
68,poll_2016_1,26
69,poll_2016_3,21
70,poll_2016_3,22
71,poll_2016_3,56
72,poll_2016_3,19
73,poll_2016_3,31
74,poll_2016_3,6
75,poll_2016_3,18
76,poll_2016_1,37
77,poll_2016_1,43
78,poll_2016_1,50
79,poll_2016_1,40
80,poll_2016_1,25
81,poll_2016_1,80
82,poll_2016_1,28
83,poll_2016_1,35
84,poll_2016_1,193
85,poll_2016_1,87
86,poll_2016_3,6
87,poll_2016_3,24
88,poll_2016_3,27
89,poll_2016_3,29
90,poll_2016_3,5
91,poll_2016_3,50
92,poll_2016_3,32
93,poll_2016_1,16
94,poll_2016_1,233
95,poll_2016_1,39
96,poll_2016_1,17
97,poll_2016_1,24
98,poll_2016_3,47
99,poll_2016_3,43
100,poll_2016_3,57
101,poll_2016_3,13
102,poll_2016_3,35
103,poll_2016_3,77
104,poll_2016_3,45
105,poll_2016_3,1
106,poll_2016_3,13
107,poll_2016_3,31
108,poll_2016_3,13
109,poll_2016_3,151
110,poll_2016_3,33
111,poll_2016_3,11
112,poll_2016_3,18
113,poll_2016_3,50
114,poll_2016_3,41
115,poll_2016_3,19
116,poll_2016_3,22
117,poll_2016_3,24
118,poll_2016_3,28
119,poll_2016_3,121
120,poll_2016_1,2
121,poll_2016_3,73
122,poll_2016_3,10
123,poll_2016_1,16
124,poll_2016_1,20
125,poll_2016_3,48
126,poll_2016_3,22
127,poll_2016_3,18
128,poll_2016_3,37
129,poll_2016_3,35
130,410470016022,90
131,410470016022,503
132,410470016022,30
133,410470016042,6
134,410470016022,249
135,410470016022,384
136,410470016022,103
137,410470016042,212
138,410470016022,177
139,410470016022,223
140,410470016022,79
141,poll_2016_1,134
142,poll_2016_1,84
143,poll_2016_1,107
144,poll_2016_1,31
145,410470016022,25
146,410470016022,78
147,410470016022,38
148,410470016022,64
149,410470016022,47
150,410470016022,282
151,410470016022,64
152,410470016022,65
153,410470016042,139
154,410470016022,120
155,410470016022,125
156,410470016022,87
157,410470016022,39
158,410470016022,41
159,410470016022,78
160,410470016022,48
161,410470016022,172
162,410470016022,111
163,410470016022,30
164,410470016022,16
165,410470016022,75
166,410470016022,211
167,410470016022,6
168,410470016022,2
169,poll_2016_6,13
170,poll_2016_6,5
171,410470016022,46
172,410470016022,66
173,410470016022,122
174,410470016022,41
175,410470016022,245
176,poll_2016_6,240
177,poll_2016_6,63
178,410470016022,64
179,poll_2016_6,132
180,poll_2016_6,8
181,poll_2016_6,5
182,poll_2016_6,28
183,poll_2016_6,27
184,poll_2016_6,62
185,poll_2016_6,23
186,poll_2016_6,80
187,410470016042,248
188,410470016042,169
189,410470016022,7
190,poll_2016_6,27
191,poll_2016_6,372
192,poll_2016_6,194
193,410470016022,68
194,poll_2016_6,21
195,410470016042,202
196,410470016042,178
197,410470016042,31
198,410470016042,121
199,410470016042,9
200,410470016042,679
201,poll_2016_6,100
202,410470016042,7
203,410470016042,136
204,410470016042,4
205,410470016042,70
206,poll_2016_6,19
207,410470016042,99
208,410470016042,51
209,poll_2016_6,86
210,poll_2016_6,635
211,poll_2016_6,20
212,poll_2016_6,10
213,poll_2016_6,109
214,410470016042,30
215,410470016042,25
216,410470016042,1
217,410470016042,19
218,410470016042,60
219,410470016042,6
220,410470016042,24
221,410470016042,39
222,410470016042,33
223,410470016042,99
224,410470016042,60
225,410470016042,248
226,410470016042,3
227,410470016042,80
228,410470016042,46
229,410470016042,87
230,poll_2016_6,34
231,410470016042,64
232,poll_2016_6,465
233,poll_2016_6,66
234,poll_2016_1,49
235,poll_2016_1,62
236,410470016042,40
237,poll_2016_1,47
238,poll_2016_1,38
239,school_523,8
240,school_523,28
241,poll_2016_3,7
242,school_523,81
243,school_523,152
244,school_523,122
245,school_523,83
246,school_523,11
247,school_523,144
248,school_523,52
249,school_523,41
250,school_523,83
251,school_523,10
252,school_523,26
253,school_523,80
254,school_523,181
255,poll_2016_3,55
256,poll_2016_3,48
257,school_523,272
258,school_523,72
259,school_523,78
260,school_523,57
261,school_523,9
262,school_523,13
263,410470021022,40
264,410470021022,87
265,410470021022,29
266,410470021022,94
267,410470021022,67
268,410470021022,50
269,410470021022,39
270,410470021022,31
271,school_523,456
272,school_523,11
273,poll_2016_3,58
274,poll_2016_3,10
275,poll_2016_3,28
276,poll_2016_3,6
277,poll_2016_3,10
278,poll_2016_3,71
279,poll_2016_3,63
280,poll_2016_3,90
281,poll_2016_3,27
282,poll_2016_3,29
283,poll_2016_3,57
284,poll_2016_4,10
285,poll_2016_3,18
286,poll_2016_4,13
287,poll_2016_4,332
288,poll_2016_4,48
289,poll_2016_4,119
290,poll_2016_4,27
291,poll_2016_4,2
292,410470021022,100
293,poll_2016_4,70
294,poll_2016_4,160
295,poll_2016_4,61
296,410470021022,50
297,school_523,107
298,school_523,60
299,school_523,44
300,410470021022,22
301,poll_2016_4,109
302,poll_2016_4,2
303,school_523,86
304,410470021022,143
305,school_523,16
306,410470021022,29
307,poll_2016_3,36
308,poll_2016_3,5
309,poll_2016_3,470
310,poll_2016_3,2
311,poll_2016_4,72
312,poll_2016_3,7
313,poll_2016_3,25
